"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"강남구","학원","1000034954","예림서예학원","서울특별시 강남구 선릉로 328","남서울상가 303호 (대치동)","기타(대)","기타(중)","서예,","서예","10","80","","N","N","135843","개원","19820420","","99991231","19820420","20230627"
"강남구","학원","1000034986","와이비엠어학원","서울특별시 강남구 강남대로 408",", 5~8층 전체, 9층 901호 일부 (역삼동, YBM강남센터)","종합(대)","","어학(성인)","","11231","1655","","Y","N","06134","개원","19830827","","99991231","19830827","20231001"
"강남구","학원","1000034990","신세계음악학원","서울특별시 강남구 삼성로 212",", B동 205호 (대치동, 은마아파트)","예능(대)","예능(중)","음악,","음악","160","80","","Y","N","06284","개원","19830224","","99991231","19830224","20230627"
"강남구","학원","1000035036","압구정뮤직아카데미학원","서울특별시 강남구 언주로172길 12",", 3층전체 (신사동)","예능(대)","예능(중)","","음악","115","61","","Y","N","06017","개원","19840828","","99991231","19840828","20230627"
"강남구","학원","1000035039","심포니음악학원","서울특별시 강남구 학동로 513",", 3층 2호 (청담동)","예능(대)","예능(중)","음악,","음악","28","4","","Y","N","06074","개원","19840730","","99991231","19840730","20230627"
"강남구","학원","1000035040","아름드리음악학원","서울특별시 강남구 강남대로120길 42",", 2층일부 (논현동)","예능(대)","예능(중)","","음악","160","120","","Y","N","06119","개원","19840330","","99991231","19840330","20230627"
"강남구","학원","1000035057","대치스카이독서실","서울특별시 강남구 도곡로 504",", 3층 (대치동)","독서실","독서","독서실(유아/초?중?고),","독서실(유아/초?중?고)","50","105","","N","N","135501","개원","19851130","","99991231","19851130","20230627"
"강남구","학원","1000035058","신라보석공예학원","서울특별시 강남구 남부순환로 2921",", 3층 (대치동, 남서울종합시장)","직업기술","산업기반기술","","공예","60","60","","N","N","135838","개원","19851217","","99991231","19851217","20230627"
"강남구","학원","1000035091","아르떼음악학원","서울특별시 강남구 논현로67길 61",", 2층 (역삼동, 스위트타워)","예능(대)","예능(중)","음악,","음악","55","36","","Y","N","06255","개원","19851019","","99991231","19851019","20230627"
"강남구","학원","1000035093","남서울알리앙스프랑세즈어학원","서울특별시 강남구 강남대로94길 27-15","2층 (역삼동)","국제화","국제","어학(성인),","어학(성인)","823","112","","Y","N","135908","개원","19851108","","99991231","19851108","20230627"
"강남구","학원","1000035094","전선진실용음악학원","서울특별시 강남구 삼성로71길 45",", 3층 (대치동)","예능(대)","예능(중)","음악,","음악","120","61","","Y","N","06201","개원","19850823","","99991231","19850823","20230627"
"강남구","학원","1000035144","김이채학원","서울특별시 강남구 남부순환로395길 9","제일상가 201호 202 203호 (대치동)","입시.검정 및 보습","보통교과","","보습","12","172","","N","N","135838","개원","19860411","","99991231","20140528","20230627"
"강남구","학원","1000035149","동현음악학원","서울특별시 강남구 언주로146길 18","(논현동)","예능(대)","예능(중)","음악,","음악","35","72","","N","N","135820","개원","19860426","","99991231","19860426","20230627"
