"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"강북구","학원","1000044622","강북고려학원","서울특별시 강북구 삼양로 463",", 3층 (수유동)","입시.검정 및 보습","보통교과","보습,","보습","511","73","","N","N","01030","개원","19890515","","99991231","19890515","20230627"
"강북구","학원","1000044988","성북음악학원","서울특별시 강북구 도봉로33길 38","3층 (미아동)","예능(대)","예능(중)","음악","음악","150","30","","N","N","142815","개원","19891229","","99991231","19891229","20231015"
"강북구","학원","1000044990","강북세종학원","서울특별시 강북구 도봉로67길 35",", 4층 일부 좌측 (미아동,홍보빌딩)","입시.검정 및 보습","보통교과","보습,","보습","216","72","","Y","N","142810","개원","19890711","","99991231","19890711","20230627"
"강북구","학원","1000045209","에덴음악학원","서울특별시 강북구 삼양로49길 8",", 3층 (미아동, 고려학원)","예능(대)","예능(중)","음악,","음악","31","93","","Y","N","142823","개원","19900710","","99991231","19900710","20230627"
"강북구","학원","1000045355","예지음악학원","서울특별시 강북구 인수봉로 132",", 2층 (수유동)","예능(대)","예능(중)","음악,","음악","54","54","","Y","N","142886","개원","19901213","","99991231","19901213","20230627"
"강북구","학원","1000045380","NEW한솔보습학원","서울특별시 강북구 솔샘로47길 22","2층 (미아동)","입시.검정 및 보습","보통교과","보습,","보습","182","65","","N","N","142100","개원","19900410","","99991231","19900410","20230627"
"강북구","학원","1000045494","현대도배기술학원","서울특별시 강북구 도봉로53길 7",", 2층 (미아동, 우원빌딩)","직업기술","산업기반기술","건축,","건축","40","120","","Y","N","01126","개원","19910318","","99991231","19910318","20230627"
"강북구","학원","1000045716","한교위즈(wiz)어학원","서울특별시 강북구 도봉로71가길 11","2층 일부 (수유동)","종합(대)","","보습,실용외국어(유아/초?중?고)","","321","107","","Y","N","142874","개원","19920630","","99991231","19920630","20230917"
"강북구","학원","1000045755","선화음악학원","서울특별시 강북구 한천로109길 47",", 2층 201호 (번동)","예능(대)","예능(중)","음악,","음악","102","17","","Y","N","142861","개원","19920928","","99991231","19920928","20230627"
"강북구","학원","1000045856","스카이학원","서울특별시 강북구 노해로 96",", 2층, 3층 전체 (수유동, 삼우빌딩)","입시.검정 및 보습","보통교과","보습,","보습","909","101","","Y","N","01051","개원","19931230","","99991231","19931230","20230627"
