"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"관악구","학원","1000036877","한국역학교육학원","서울특별시 관악구 남부순환로 1936","(봉천동)","인문사회(대)","인문사회(중)","","행정","120","120","","N","N","151832","개원","19700417","","99991231","19700417","20230627"
"관악구","학원","1000036997","윤경음악학원","서울특별시 관악구 당곡길 6","(봉천동)","예능(대)","예능(중)","음악","음악","320","80","","Y","N","151830","개원","19790829","20170109","20170123","19790829","20230917"
"관악구","학원","1000037140","원일보습학원","서울특별시 관악구 중앙1나길 2","(봉천동)","입시.검정 및 보습","보통교과","보습,","보습","640","80","","N","N","151050","개원","19821223","","99991231","19821223","20230627"
"관악구","학원","1000037384","연세음악학원","서울특별시 관악구 남부순환로161가길 8","2층 (신림동)","예능(대)","예능(중)","음악,","음악","1230","49","","Y","N","151872","개원","19840622","","99991231","19840622","20230627"
"관악구","학원","1000037516","마들렌음악학원","서울특별시 관악구 문성로 76",", 401호, 402호일부","예능(대)","예능(중)","음악,","음악","215","44","","Y","N","08863","개원","19850413","","99991231","19850413","20230627"
"관악구","학원","1000037539","관서음악학원","서울특별시 관악구 관악로 139",", 2층 (봉천동)","예능(대)","예능(중)","음악,","음악","180","60","","N","N","08833","개원","19850112","","99991231","19850112","20230627"
"관악구","학원","1000037651","예지음악학원","서울특별시 관악구 봉천로23나길 66","(봉천동)","예능(대)","예능(중)","음악,","음악","60","20","","Y","N","151069","개원","19860310","","99991231","19860310","20230627"
"관악구","학원","1000037812","코스모스음악학원","서울특별시 관악구 낙성대역길 91","2층 (봉천동)","예능(대)","예능(중)","음악,","음악","280","70","","Y","N","151817","개원","19871219","","99991231","19871219","20230627"
"관악구","학원","1000038126","관악1이아이이(EIE)어학원","서울특별시 관악구 은천로39길 6",", 1~2층,4층일부 (봉천동)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","718","100","","N","N","08727","개원","19890615","","99991231","19890615","20230627"
"관악구","학원","1000038188","박문각서울법학원","서울특별시 관악구 관악로 132",", 3층~5층 (봉천동)","인문사회(대)","인문사회(중)","성인고시,","성인고시","16600","390","","Y","N","08791","개원","19891214","","99991231","19891214","20230627"
"관악구","학원","1000038278","민트음악학원","서울특별시 관악구 문성로 218","2층 (신림동)","예능(대)","예능(중)","음악,","음악","200","20","","Y","N","151901","개원","19890412","","99991231","19890412","20230627"
"관악구","학원","1000038322","형설보습학원","서울특별시 관악구 관악로 226","(봉천동)","입시.검정 및 보습","보통교과","보습,","보습","23","240","","Y","N","151810","개원","19890616","","99991231","19890616","20230627"
"관악구","학원","1000038415","서울대보습학원-143","서울특별시 관악구 관악로40길 47",", 1동 406호 (봉천동, 현대상가)","입시.검정 및 보습","보통교과","보습,","보습","225","240","","N","N","08730","개원","19890905","","99991231","19890905","20230627"
"관악구","학원","1000038519","봉천한샘보습학원","서울특별시 관악구 은천로39길 6","(봉천동)","입시.검정 및 보습","보통교과","보습,","보습","266","80","","N","N","151805","개원","19890615","","99991231","19890615","20230627"
