"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"광진구","학원","1000041406","생명을살리는수학창의교육보습학원","서울특별시 광진구 구의강변로 106","101동 211호(구의동 삼성쉐르빌)","입시.검정 및 보습","보통교과","보습,","보습","24","85","","Y","N","143723","개원","19850911","","99991231","19850911","20230627"
"광진구","학원","1000041585","시엘음악학원","서울특별시 광진구 용마산로21길 27","2층(중곡동)","예능(대)","예능(중)","","음악","40","63","","Y","N","143884","개원","19880721","","99991231","19880721","20230627"
"광진구","학원","1000041624","성신에듀학원","서울특별시 광진구 자양로22길 24","3층일부 (구의동)","입시.검정 및 보습","보통교과","","보습","255","53","","Y","N","143826","개원","19881011","","99991231","20110817","20230627"
"광진구","학원","1000041690","청람보습학원","서울특별시 광진구 용마산로 100","(중곡동)","입시.검정 및 보습","보통교과","","보습","90","90","","Y","N","143895","개원","19891129","","99991231","19891129","20230627"
"광진구","학원","1000041889","위너스아카데미학원","서울특별시 광진구 뚝섬로64길 42","(자양동)","기타(대)","기타(중)","속셈,","속셈","24","40","","Y","N","143875","개원","19890722","","99991231","19890722","20230627"
"광진구","학원","1000041936","창조의아침미술학원","서울특별시 광진구 천호대로 566","3층일부4층 (능동)","예능(대)","예능(중)","미술","미술","5495","111","","Y","N","143847","개원","19890515","","99991231","19890515","20231015"
"광진구","학원","1000041987","성지미술학원","서울특별시 광진구 자양로50길 17","(구의동)","예능(대)","예능(중)","미술","미술","20","82","","Y","N","143817","개원","19890705","","99991231","19890705","20230917"
"광진구","학원","1000042055","가람음악학원","서울특별시 광진구 뚝섬로36길 15","(2층) (자양동)","예능(대)","예능(중)","","음악","480","54","","N","N","143862","개원","19891215","","99991231","19891215","20230627"
"광진구","학원","1000042082","한일컴퓨터학원","서울특별시 광진구 용마산로 93",", 4층 (중곡동, 용현빌딩)","직업기술","컴퓨터","컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","632","47","","Y","N","04936","개원","19890320","","99991231","19890320","20230627"
"광진구","학원","1000042155","조이학원","서울특별시 광진구 면목로 137",",  2층 일부 (중곡동)","입시.검정 및 보습","보통교과","보습,","보습","40","77","","Y","N","04907","개원","19840709","","99991231","19840709","20230627"
