"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"구로구","학원","1000009404","동심음악학원","서울특별시 구로구 구로중앙로27가길 5-2",", . (구로동)","예능(대)","예능(중)","음악,","음악","36","54","","Y","N","08283","개원","19791121","","99991231","19791121","20230627"
"구로구","학원","1000009525","신대원학원","서울특별시 구로구 도림로 31-1","2,3층 구로동","입시.검정 및 보습","보통교과","보습,","보습","168","103","","Y","N","152873","개원","19820331","","99991231","19820331","20230627"
"구로구","학원","1000009698","뉴(New)이화음악학원","서울특별시 구로구 구로중앙로34길 36",", 2층 (구로동)","예능(대)","예능(중)","음악,","음악","80","80","","Y","N","152862","개원","20010521","","99991231","19831012","20230627"
"구로구","학원","1000009924","개봉한림독서실","서울특별시 구로구 개봉로17라길 25",", 1층 일부, 2층 (개봉동)","독서실","독서","독서실(유아/초?중?고),","독서실(유아/초?중?고)","52","60","","N","N","08338","개원","19870110","","99991231","19870110","20230627"
"구로구","학원","1000010020","민아음악학원","서울특별시 구로구 구로중앙로14길 24","(구로동)","예능(대)","예능(중)","","음악","36","60","","Y","N","08304","개원","19850610","","99991231","19850610","20230627"
"구로구","학원","1000010149","현대음악학원","서울특별시 구로구 오류로8길 34","3층 오류동","예능(대)","예능(중)","음악,","음악","105","54","","Y","N","152896","개원","19860409","","99991231","19860409","20230627"
"구로구","학원","1000010195","프라임학원","서울특별시 구로구 서해안로 2098",", 항동프라자 703호 (항동, 항동프라자)","입시.검정 및 보습","보통교과","보습,","보습","75","72","","Y","N","08368","개원","19861222","","99991231","19861222","20230627"
"구로구","학원","1000010370","숙명음악학원","서울특별시 구로구 개봉로3길 82",", 가동 2층 (개봉동)","예능(대)","예능(중)","","음악","36","54","","Y","N","08351","개원","19870312","","99991231","19870312","20230627"
"구로구","학원","1000010457","키즈랜드어학원","서울특별시 구로구 신도림로 18",", 1층,2층 (신도림동)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","50","147","","Y","N","08211","개원","19871113","","99991231","19871113","20230627"
"구로구","학원","1000010628","성광학원","서울특별시 구로구 구로동로22길 89",", 3층 (구로동)","입시.검정 및 보습","보통교과","보습,","보습","53","81","","N","N","08314","개원","19880130","","99991231","19880130","20230627"
"구로구","학원","1000010849","미래음악학원","서울특별시 구로구 구일로8길 92","2층 구로동","예능(대)","예능(중)","음악,","음악","48","15","","N","N","152868","개원","19881019","","99991231","19881019","20230627"
"구로구","학원","1000011261","은정학원","서울특별시 구로구 도림로20길 18","2층 구로동","종합(대)","","미술,보습,음악,","","115","209","","N","N","152847","개원","19890617","","99991231","20050304","20230827"
"구로구","학원","1000011449","칸타빌레음악학원","서울특별시 구로구 구로중앙로7길 28","극동상가 302호 구로동","예능(대)","예능(중)","","음악","7","54","","N","N","152850","개원","19891030","","99991231","19891030","20230627"
"구로구","학원","1000011528","신미래학원","서울특별시 구로구 구일로4길 46",", 206호 (구로동, 현대연예인아파트)","기타(대)","기타(중)","속셈,","속셈","24","120","","Y","N","152730","개원","19891214","","99991231","19891214","20230627"
"구로구","학원","1000011684","성지속셈학원","서울특별시 구로구 경인로47길 82",",  2층 (고척동)","기타(대)","기타(중)","속셈,","속셈","30","120","","Y","N","08222","개원","19900106","","99991231","19900106","20230627"
"구로구","학원","1000011756","홍익잉글아트교육센타학원","서울특별시 구로구 구일로8길 92",", 3층 (구로동, 중앙구로하이츠)","종합(대)","","보습,실용외국어(유아/초?중?고),미술,","","160","296","","Y","N","152762","개원","19900302","","99991231","19900302","20230627"
"구로구","학원","1000011762","구로이엠아이학원","서울특별시 구로구 구일로4길 30",", 4층 전체 (구로동, 신영상가)","입시.검정 및 보습","보통교과","보습,","보습","315","225","","N","N","08325","개원","19900313","","99991231","19900313","20230627"
"구로구","학원","1000011778","킴스음악학원","서울특별시 구로구 구일로4길30","신영상가 306","예능(대)","예능(중)","음악,","음악","36","54","","Y","N","152868","개원","19900426","","99991231","19900426","20230627"
"구로구","학원","1000011792","바하음악학원","서울특별시 구로구 오류로 60","","예능(대)","예능(중)","","음악","240","74","","Y","N","152897","개원","19900703","","99991231","19900703","20230627"
"구로구","학원","1000011873","신예일학원","서울특별시 구로구 경인로47길 134?","대화빌딩 2,3층","입시.검정 및 보습","보통교과","","보습","59","150","","Y","N","152823","개원","19910930","","99991231","19910930","20230627"
"구로구","학원","1000012150","대양학원","서울특별시 구로구 도림로 90",", 2,3,4층 (구로동,혜성빌딩)","입시.검정 및 보습","보통교과","","보습","150","293","","Y","N","152847","개원","19920921","","99991231","19920921","20230627"
"구로구","학원","1000012192","비전에스엔디(snd)학원","서울특별시 구로구 구일로10길 53","상가2층 201,202,203,204호 구로동","입시.검정 및 보습","보통교과","보습,","보습","218","120","","Y","N","152868","개원","19921015","","99991231","19921015","20230627"
"구로구","학원","1000012304","하이미디어컴퓨터학원","서울특별시 구로구 경인로 557","4층 일부 구로동","종합(대)","","디자인,전산회계,컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","","2625","186","","Y","N","152864","개원","19931201","","99991231","19931201","20230627"
"구로구","학원","1000012588","선음악학원","서울특별시 구로구 경인로31길 98","4층 일부 개봉동","예능(대)","예능(중)","","음악","36","53","","N","N","152090","개원","19951208","","99991231","19951208","20230627"
"구로구","학원","1000012601","백호보습학원","서울특별시 구로구 신도림로9길 20",", 3층 (신도림동)","입시.검정 및 보습","보통교과","보습,","보습","30","97","","N","N","152887","개원","19951012","","99991231","19951012","20230627"
