"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"금천구","학원","1000009418","새벧엘음악학원","서울특별시 금천구 범안로 1188","(독산동)","예능(대)","예능(중)","음악,","음악","64","80","","N","N","153829","개원","19800728","","99991231","19800728","20230627"
"금천구","학원","1000009467","숙연음악학원","서울특별시 금천구 시흥대로146길 14",", 2층 (독산동)","예능(대)","예능(중)","음악,","음악","160","46","","Y","N","08544","개원","19800212","","99991231","19800212","20230627"
"금천구","학원","1000009668","열매음악학원","서울특별시 금천구 시흥대로45길 39",", 3층 일부 (시흥동, 도유빌딩)","예능(대)","예능(중)","음악,","음악","70","17","","Y","N","08636","개원","19830425","","99991231","19830425","20230627"
"금천구","학원","1000009978","지니어스보습학원","서울특별시 금천구 독산로 126","3,4층 시흥동","입시.검정 및 보습","보통교과","","보습","120","74","","Y","N","153855","개원","19850312","","99991231","19850312","20230627"
"금천구","학원","1000010437","오현음악학원","서울특별시 금천구 금하로24길 44",", 2층 (시흥동)","예능(대)","예능(중)","음악,","음악","57","54","","N","N","08648","개원","19870928","","99991231","19870928","20230627"
"금천구","학원","1000010657","모짜르트음악학원","서울특별시 금천구 독산로50길 74","(시흥동)","예능(대)","예능(중)","음악,","음악","250","54","","N","N","153854","개원","19880202","","99991231","19880202","20230627"
"금천구","학원","1000010944","예지원독서실","서울특별시 금천구 금하로 692","(시흥동, 예원빌딩)","독서실","독서","","독서실(유아/초?중?고)","30","100","","N","N","153859","개원","19890117","","99991231","19890117","20230627"
"금천구","학원","1000011085","소라피아노음악학원","서울특별시 금천구 시흥대로94길 69","","예능(대)","예능(중)","음악,","음악","36","54","","Y","N","153832","개원","19890104","","99991231","19890104","20230627"
"금천구","학원","1000011177","열린음악학원","서울특별시 금천구 시흥대로20길 13","3층 시흥동","예능(대)","예능(중)","음악,","음악","9","78","","N","N","153861","개원","19890410","","99991231","19890410","20230627"
"금천구","학원","1000011380","평강보습학원","서울특별시 금천구 금하로 755","(시흥동)","입시.검정 및 보습","보통교과","","보습","60","80","","Y","N","153844","개원","19890909","","99991231","19890909","20230627"
