"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"노원구","학원","1000014057","마들단디독서실","서울특별시 노원구 동일로227길 26","상계주공@15단지상가 3층일부","독서실","독서","독서실(유아/초?중?고),","독서실(유아/초?중?고)","167","167","","Y","N","139765","개원","19881104","","99991231","19881104","20230627"
"노원구","학원","1000014208","청우어학원","서울특별시 노원구 동일로 1368",", 4층1호, 4층3호~4호, 6층3호 (상계동)","국제화","외국어","","실용외국어(유아/초?중?고)","90","147","","Y","N","01756","개원","19880902","","99991231","19880902","20230627"
"노원구","학원","1000014346","경희로맨틱발레(Romanticballet)무용학원","서울특별시 노원구 동일로 1393",", 505호, 604호 (상계동)","예능(대)","예능(중)","","무용","60","99","","Y","N","01762","개원","19881011","","99991231","19881011","20230627"
"노원구","학원","1000014481","중계새롬보습학원","서울특별시 노원구 중계로8길 11","(3층)","입시.검정 및 보습","보통교과","","보습","55","105","","Y","N","139220","개원","19881206","","99991231","19881206","20230827"
"노원구","학원","1000014486","한샘영재보습학원","서울특별시 노원구 섬밭로 209","벽산아파트 상가동 (304호,305호)","입시.검정 및 보습","보통교과","보습","보습","50","85","","Y","N","139873","개원","19881208","","99991231","19881208","20230917"
"노원구","학원","1000014567","리틀비음악학원","서울특별시 노원구 동일로227길 26",", 유아원 3층일부 (상계동, 상계주공아파트 15단지유아원)","예능(대)","예능(중)","","음악","57","45","","Y","N","01617","개원","19881226","","99991231","19881226","20230627"
"노원구","학원","1000014695","중앙키즈팝음악학원","서울특별시 노원구 동일로216길 70",", 4층일부 (상계동)","예능(대)","예능(중)","","음악","60","19","","Y","N","01755","개원","19890127","","99991231","19890127","20230827"
"노원구","학원","1000014717","세화음악학원","서울특별시 노원구 섬밭로 209","벽산상가 308호","예능(대)","예능(중)","","음악","36","54","","Y","N","139873","개원","19890201","","99991231","19890201","20230827"
"노원구","학원","1000014779","예쁜소리음악학원","서울특별시 노원구 동일로 1456",", 3층일부 (상계동, 상계주공아파트7단지 유치원)","예능(대)","예능(중)","","음악","90","21","","Y","N","01690","개원","19890228","","99991231","19890228","20230627"
"노원구","학원","1000014793","카라얀음악학원","서울특별시 노원구 한글비석로 460",", 3층 일부 (상계동)","예능(대)","예능(중)","음악,","음악","406","54","","Y","N","01655","개원","19890313","","99991231","19890313","20230627"
"노원구","학원","1000014903","중앙음악학원","서울특별시 노원구 덕릉로 459-47","상계주공@1 유치원상가3층일부","예능(대)","예능(중)","음악,","음악","90","22","","Y","N","139831","개원","19890410","","99991231","19890410","20230627"
"노원구","학원","1000015042","클릭전원미술학원","서울특별시 노원구 동일로 1354",", 601호  (상계동, 명석빌딩)","예능(대)","예능(중)","미술,","미술","400","134","","Y","N","01756","개원","19890517","","99991231","19890517","20230627"
"노원구","학원","1000015110","숙명피아노학원","서울특별시 노원구 광운로 43","","예능(대)","예능(중)","음악,","음악","3","54","","Y","N","139845","개원","19890621","","99991231","19890621","20230827"
"노원구","학원","1000015118","SMMA음악학원","서울특별시 노원구 섬밭로 232","현우빌딩 2층,3층","예능(대)","예능(중)","음악,","음악","19","118","","Y","N","139873","개원","19890621","","99991231","19890621","20230627"
"노원구","학원","1000015211","동명피아노학원","서울특별시 노원구 동일로228길 29","(3층)","예능(대)","예능(중)","","음악","32","20","","Y","N","139200","개원","19890725","","99991231","19890725","20230827"
"노원구","학원","1000015264","보람음악학원","서울특별시 노원구 한글비석로 474","보람상가 315호","예능(대)","예능(중)","음악,","음악","16","150","","Y","N","139822","개원","19890807","","99991231","19890807","20230827"
"노원구","학원","1000015399","보람웅변학원","서울특별시 노원구 한글비석로 474",", 보람상가 316호 (상계동,보람상가)","기타(대)","기타(중)","웅변,","웅변","90","120","","Y","N","139768","개원","19890911","","99991231","19890911","20230827"
"노원구","학원","1000015457","맑은샘상계음악학원","서울특별시 노원구 노원로 547","임광@상가 3층(일부)","예능(대)","예능(중)","","음악","22","114","","Y","N","139908","개원","19891012","","99991231","19891012","20230627"
"노원구","학원","1000015548","어린화가들미술학원","서울특별시 노원구 동일로228길 29","(303호)","예능(대)","예능(중)","미술,","미술","10","120","","Y","N","139200","개원","19891106","","99991231","19891106","20230627"
"노원구","학원","1000015606","안녕, 피아노 음악학원","서울특별시 노원구 동일로 1384","주공6단지상가 202호","예능(대)","","음악,","","24","53","","Y","N","139832","개원","19891117","","99991231","19891117","20230827"
"노원구","학원","1000015630","매쓰플러스수학학원","서울특별시 노원구 한글비석로 227","(4층일부)","입시.검정 및 보습","보통교과","","보습","96","87","","Y","N","139860","개원","19891123","","99991231","19891123","20230827"
"노원구","학원","1000015964","아이린영어학원","서울특별시 노원구 동일로 1551","(504호)","입시.검정 및 보습","보통교과","","보습","24","85","","Y","N","139823","개원","19900205","","99991231","19900205","20230627"
"노원구","학원","1000015990","공감학원","서울특별시 노원구 노원로34길 102","(2,3층)","입시.검정 및 보습","보통교과","","보습","90","104","","Y","N","139820","개원","19900206","","99991231","19900206","20230627"
"노원구","학원","1000016000","최고수챌린지에듀학원","서울특별시 노원구 동일로 1528",", 2층 (상계동)","입시.검정 및 보습","","보습,","","710","204","","Y","N","01674","개원","19900207","","99991231","19900207","20230827"
"노원구","학원","1000016188","감자과학수학전문학원","서울특별시 노원구 한글비석로 265","(302호일부,303호)","입시.검정 및 보습","보통교과","보습,","보습","27","96","","Y","N","139860","개원","19900411","","99991231","19900411","20230827"
"노원구","학원","1000016212","쎄실음악학원","서울특별시 노원구 상계로1길 74","동진상가 402호","예능(대)","예능(중)","","음악","136","17","","Y","N","139821","개원","19900508","","99991231","19900508","20230827"
"노원구","학원","1000016359","은하피아노학원","서울특별시 노원구 노원로34길 92","(2층)","예능(대)","예능(중)","음악,","음악","50","17","","Y","N","139820","개원","19901102","","99991231","19901102","20230827"
"노원구","학원","1000016430","줄리어드음악학원","서울특별시 노원구 노원로 540","상계주공@9단지 종합상가 (210,211호)","예능(대)","예능(중)","","음악","50","22","","Y","N","139759","개원","19901217","","99991231","19901217","20230827"
"노원구","학원","1000016582","무한수학영어전문학원","서울특별시 노원구 동일로 1026",", 윤성빌딩 3층 (공릉동)","입시.검정 및 보습","보통교과","","보습","84","78","","Y","N","01848","개원","19910124","","99991231","19910124","20230627"
"노원구","학원","1000016826","예솔음악학원","서울특별시 노원구 동일로207길 23","시영아파트1단지 유치원 3층1호일부","예능(대)","예능(중)","음악,","음악","17","54","","Y","N","139863","개원","19910814","","99991231","19910814","20230827"
