"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"도봉구","학원","1000014165","큐엠(Q.M.)학원","서울특별시 도봉구 방학로10길 12",", 2층 (방학동)","입시.검정 및 보습","보통교과","","보습","72","96","","Y","N","01356","개원","19880806","20221101","20221231","19880806","20230627"
"도봉구","학원","1000014201","피치아음악학원","서울특별시 도봉구 도당로27길 59","(2층)","예능(대)","예능(중)","음악","음악","60","30","","Y","N","132820","개원","19880901","","99991231","19880901","20231015"
"도봉구","학원","1000014500","방학컴퓨터·회계학원","서울특별시 도봉구 방학로 171","(2층,3층)","종합(대)","","전산회계,컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","","120","141","","Y","N","132932","개원","19881213","","99991231","19881213","20230827"
"도봉구","학원","1000014892","삼성영어수학학원","서울특별시 도봉구 도봉로104길 75","2층","입시.검정 및 보습","보통교과","","보습","64","91","","Y","N","132920","개원","19890410","","99991231","19890410","20230627"
"도봉구","학원","1000014911","엔젤컴퓨터학원","서울특별시 도봉구 노해로65길 7-12",", 6층 일부 (창동)","직업기술","컴퓨터","컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","580","56","","Y","N","01405","개원","19890412","","99991231","19890412","20230627"
"도봉구","학원","1000015330","창경음악학원","서울특별시 도봉구 도봉로131길 90","(3층)","예능(대)","예능(중)","","음악","48","40","","Y","N","132870","개원","19890821","","99991231","19890821","20230827"
"도봉구","학원","1000015531","이지컴컴퓨터학원","서울특별시 도봉구 방학로 223","(3층일부)","기타(대)","기타(중)","컴퓨터(소),","컴퓨터(소)","30","50","","Y","N","132828","개원","19891101","","99991231","19891101","20230827"
"도봉구","학원","1000015595","뉴이화소리음악학원","서울특별시 도봉구 방학로 223","(3층일부)","예능(대)","예능(중)","음악,","음악","90","32","","Y","N","132828","개원","19891114","","99991231","19891114","20230827"
"도봉구","학원","1000015708","윤진보습학원","서울특별시 도봉구 방학로6길 20-23",", 2층, 3층 일부(방학동) (방학동)","입시.검정 및 보습","보통교과","보습,","보습","150","73","","Y","N","132852","개원","19891218","","99991231","19891218","20230627"
"도봉구","학원","1000016023","용경M2M보습학원","서울특별시 도봉구 덕릉로63가길 22","2층,3층","입시.검정 및 보습","보통교과","","보습","50","83","","Y","N","132919","개원","19900213","","99991231","19900213","20230627"
"도봉구","학원","1000016338","솔빛수학영어학원","서울특별시 도봉구 노해로70길 46",", 202호~203호 (창동, 주공아파트 19단지종합상가)","입시.검정 및 보습","보통교과","","보습","114","151","","Y","N","01417","개원","19900911","","99991231","19900911","20230827"
"도봉구","학원","1000016367","더?피아노학원","서울특별시 도봉구 해등로16길 66","(2층)","예능(대)","예능(중)","음악,","음악","105","35","","Y","N","132906","개원","19901106","","99991231","19901106","20230827"
"도봉구","학원","1000016440","박지연음악학원","서울특별시 도봉구 시루봉로15길 6","(2층)","예능(대)","예능(중)","","음악","60","120","","Y","N","132838","개원","19901218","","99991231","19901218","20230827"
"도봉구","학원","1000016707","바로크음악학원","서울특별시 도봉구 도봉로169가길 10","(2층)","예능(대)","예능(중)","","음악","18","9","","Y","N","132816","개원","19910325","","99991231","19910325","20230827"
"도봉구","학원","1000016756","GnB영어해법수학학원","서울특별시 도봉구 도봉로180나길 41","도봉한신@상가1동 401호","입시.검정 및 보습","보통교과","","보습","46","72","","Y","N","132800","개원","19910715","","99991231","19910715","20230827"
"도봉구","학원","1000016817","정우보습학원","서울특별시 도봉구 시루봉로6길 93","3층 일부(쌍문동)","입시.검정 및 보습","","보습,","","112","264","","Y","N","132872","개원","19910806","","99991231","19910806","20230827"
"도봉구","학원","1000016831","음악사랑음악학원","서울특별시 도봉구 해등로4길 9",", 3층1호 일부 (창동, 창동주공아파트 유치원상가)","예능(대)","예능(중)","음악","음악","201","57","","Y","N","01421","개원","19910820","","99991231","19910820","20230827"
"도봉구","학원","1000016965","아카데미라운지창동독서실","서울특별시 도봉구 노해로65길 11",", 4층3호, 4층4호일부 (창동, 한성빌딩)","독서실","독서","독서실(유아/초?중?고),","독서실(유아/초?중?고)","176","110","","Y","N","01405","개원","19920507","","99991231","19920507","20230627"
"도봉구","학원","1000016998","수와식학원","서울특별시 도봉구 해등로4길 9","창동주공 유치원상가 (3층3호)","입시.검정 및 보습","보통교과","보습,","보습","10","86","","Y","N","132910","개원","19920225","","99991231","19920225","20230827"
"도봉구","학원","1000017108","수현음악학원","서울특별시 도봉구 노해로65길 17","중앙빌딩 6층","예능(대)","예능(중)","음악,","음악","40","71","","Y","N","132908","개원","19920713","","99991231","19920713","20230827"
"도봉구","학원","1000017389","김상엽제과제빵학원","서울특별시 도봉구 노해로60길 86","(1-3층)","직업기술","산업응용기술","","식음료품(바리스타,소믈리에)","232","88","","Y","N","132864","개원","19931217","","99991231","19931217","20230827"
"도봉구","학원","1000017511","국보미술학원","서울특별시 도봉구 해등로 218","(4층)","예능(대)","예능(중)","미술,","미술","65","60","","Y","N","132871","개원","19940617","","99991231","19940617","20230827"
"도봉구","학원","1000017561","김은하음악학원","서울특별시 도봉구 우이천로 333","(2층전체,3층전체)","예능(대)","예능(중)","음악,","음악","40","268","","Y","N","132884","개원","19941116","","99991231","19941116","20230827"
"도봉구","학원","1000017678","와이비엠넷쌍문이씨씨어학원","서울특별시 도봉구 도봉로136길 7",", 손앤패밀리빌딩 4층 (창동)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","46","280","","Y","N","01397","개원","19950511","","99991231","19950511","20230627"
"도봉구","학원","1000017710","프렌즈아카데미학원","서울특별시 도봉구 방학로12길 9",", 상가동 201호 (방학동)","종합(대)","","보습,실용외국어(유아/초?중?고),","","80","216","","Y","N","01359","개원","19950711","","99991231","19950711","20230627"
"도봉구","학원","1000017989","청석보습학원","서울특별시 도봉구 시루봉로 219","(2,3층)","입시.검정 및 보습","보통교과","보습,","보습","263","167","","Y","N","132838","개원","19951102","","99991231","19951102","20230827"
"도봉구","학원","1000018048","대성세그루보습학원","서울특별시 도봉구 방학로 176",", 2층 (방학동)","입시.검정 및 보습","보통교과","","보습","180","141","","Y","N","132848","개원","19951214","","99991231","19951214","20230827"
"도봉구","학원","1000018050","더(The)꿈꾸는음악학원","서울특별시 도봉구 도봉로129길 45","(2층)","예능(대)","예능(중)","음악,","음악","200","62","","Y","N","132862","개원","19951215","","99991231","19951215","20230827"
"도봉구","학원","1000018096","세라음악학원","서울특별시 도봉구 덕릉로59아길 30","(2층)","예능(대)","예능(중)","","음악","240","30","","Y","N","132919","개원","19960115","","99991231","19960115","20230827"
"도봉구","학원","1000018112","앙팡음악학원","서울특별시 도봉구 덕릉로63가길 61",", 207호 (창동, 창동대우아파트)","예능(대)","예능(중)","","음악","85","180","","Y","N","01465","개원","19960123","","99991231","19960123","20230627"
"도봉구","학원","1000018147","티앤티(TNT)학원","서울특별시 도봉구 방학로 166","(3층)","입시.검정 및 보습","보통교과","보습,","보습","42","79","","Y","N","132848","개원","19960229","","99991231","19960229","20230827"
"도봉구","학원","1000018176","도봉청담어학원","서울특별시 도봉구 노해로 389",", 6층일부 (창동)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","30","146","","Y","N","01415","개원","19960408","","99991231","19960408","20230827"
