"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"동대문구","학원","1000000043","한국이용학원","서울특별시 동대문구 왕산로33길 32",", 2층  (제기동)","직업기술","산업응용기술","이?미용,","이?미용","52","20","","Y","N","130862","개원","19670209","20230118","20230331","19670209","20230627"
"동대문구","학원","1000000064","대성회계실무학원","서울특별시 동대문구 왕산로 225",", 5층2호?5층6호?5층7호 중 일부(B호) (청량리동, 미주상가)","종합(대)","","전산회계,컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","","404","129","","Y","N","02490","개원","19681227","","99991231","19681227","20231015"
"동대문구","학원","1000000083","국제전자과학학원","서울특별시 동대문구 고산자로36길 3",", 3층 일부 (제기동, 경동시장)","직업기술","산업기반기술","전자,","전자","30","91","","Y","N","02571","개원","19680210","","99991231","19680210","20230627"
"동대문구","학원","1000000147","조이앤플레이음악학원","서울특별시 동대문구 이문로 38",", 3층 301호 (휘경동, 민족통일빌딩)","예능(대)","예능(중)","음악,","음악","98","45","","Y","N","02445","개원","19720630","","99991231","19720630","20230627"
"동대문구","학원","1000000151","한독자동차정비학원","서울특별시 동대문구 왕산로 31",", 2층,3층 (신설동)","직업기술","산업기반기술","","자동차","210","177","","Y","N","130811","개원","19720501","","99991231","19720501","20230627"
"동대문구","학원","1000000714","장안로드맵수학학원","서울특별시 동대문구 한천로 124",", 2층 202호 (장안동)","입시.검정 및 보습","보통교과","","보습","140","71","","Y","N","02623","개원","19891209","","99991231","19891209","20230627"
"동대문구","학원","1000000776","더하이스트수학학원","서울특별시 동대문구 사가정로 190",", 상가4층 8,9호 (전농동, 전농우성아파트)","입시.검정 및 보습","보통교과","","보습?논술","180","68","","Y","N","02533","개원","19890619","","99991231","19890619","20230627"
"동대문구","학원","1000000804","미래사관학원","서울특별시 동대문구 천호대로16길 12","3층4층 (용두동)","입시.검정 및 보습","보통교과","","보습","114","130","","Y","N","130821","개원","19890522","","99991231","19890522","20230627"
"동대문구","학원","1000001047","주미음악학원","서울특별시 동대문구 장한로30길 31","3층 (장안동)","예능(대)","예능(중)","","음악","35","41","","Y","N","130839","개원","19890722","","99991231","19890722","20230627"
"동대문구","학원","1000001068","새암음악학원","서울특별시 동대문구 답십리로72길 118","5층 (장안동)","예능(대)","예능(중)","음악","음악","441","49","","N","N","130841","개원","19890911","","99991231","19890911","20230917"
"동대문구","학원","1000001110","예술의악당음악학원","서울특별시 동대문구 이문로1길 16-3",", 2층 (회기동)","예능(대)","예능(중)","음악,","음악","460","39","","Y","N","02461","개원","19891005","","99991231","19891005","20230627"
"동대문구","학원","1000001203","루체음악학원","서울특별시 동대문구 천호대로77길 89","2층 (장안동)","예능(대)","예능(중)","","음악","180","55","","N","N","130837","개원","19901108","","99991231","19901108","20230627"
"동대문구","학원","1000001390","맨하탄학원","서울특별시 동대문구 황물로 42",", 2층일부 (답십리동)","입시.검정 및 보습","보통교과","보습","보습","80","184","","Y","N","02593","개원","19900219","","99991231","19900219","20231015"
"동대문구","학원","1000001429","한영보습학원","서울특별시 동대문구 답십리로23길 59","(2층) (전농동)","입시.검정 및 보습","보통교과","보습,","보습","90","92","","N","N","130857","개원","19900201","","99991231","19900201","20230627"
"동대문구","학원","1000001549","수학엠플러스학원","서울특별시 동대문구 한천로 165",", 3층 일부 (답십리동)","입시.검정 및 보습","보통교과","보습,","보습","84","61","","N","N","02534","개원","19890601","","99991231","19890601","20230627"
"동대문구","학원","1000001612","대우건축토목학원","서울특별시 동대문구 하정로 36",", 5층  (신설동)","직업기술","산업기반기술","토목,건축,안전관리,","건축","2310","175","","Y","N","130811","개원","19900402","","99991231","19900402","20230627"
"동대문구","학원","1000001642","진주컴퓨터학원","서울특별시 동대문구 홍릉로15길 43",", 2층 (제기동)","기타(대)","기타(중)","컴퓨터(소),","컴퓨터(소)","57","40","","N","N","130862","개원","19901231","","99991231","19901231","20230627"
"동대문구","학원","1000001780","SDA삼육외국어학원","서울특별시 동대문구 망우로18길 33",", 가동 1층?2층 (휘경동)","종합(대)","","보습,실용외국어(유아/초?중?고),","","176","872","","N","N","02498","개원","19910604","","99991231","19910604","20230730"
"동대문구","학원","1000001912","교원더퍼스트캠퍼스학원","서울특별시 동대문구 이문로 65",", 2층 및 3층 일부 (이문동)","입시.검정 및 보습","보통교과","보습,","보습","132","144","","Y","N","02451","개원","19921102","","99991231","19921102","20230627"
"동대문구","학원","1000002041","미시간캠퍼스어학원","서울특별시 동대문구 휘경로 39","4층일부 (이문동)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","60","178","","N","N","130825","개원","19920729","20110627","20110828","19920729","20230627"
"동대문구","학원","1000002272","수재학원","서울특별시 동대문구 답십리로 133",", 1층, 2층 (답십리동)","입시.검정 및 보습","보통교과","","보습","370","132","","Y","N","02542","개원","19940706","","99991231","19940706","20230627"
"동대문구","학원","1000002310","수정음악학원","서울특별시 동대문구 답십리로66길 99","(2층) (장안동)","예능(대)","예능(중)","음악,","음악","60","45","","N","N","130842","개원","19940607","","99991231","19940607","20230627"
"동대문구","학원","1000002779","이문보습학원","서울특별시 동대문구 한천로 481",", 2층  (이문동)","입시.검정 및 보습","보통교과","보습,","보습","72","75","","N","N","130828","개원","19960523","","99991231","19960523","20230627"
"동대문구","학원","1000002900","중앙플러스학원","서울특별시 동대문구 천호대로77길 94","2층 (장안동)","입시.검정 및 보습","보통교과","보습,","보습","130","76","","N","N","130843","개원","19961114","","99991231","19961114","20230627"
"동대문구","학원","1000002977","교우보습학원","서울특별시 동대문구 사가정로 93",", 3층일부 (전농동,동광교회)","입시.검정 및 보습","보통교과","보습,","보습","130","116","","N","N","130854","개원","19970402","","99991231","19970402","20230627"
"동대문구","학원","1000002990","이화포르테미술학원","서울특별시 동대문구 답십리로72길 112","2층 (장안동)","예능(대)","예능(중)","미술,","미술","15","72","","N","N","130841","개원","19970501","","99991231","19970501","20230627"
