"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"서대문구","학원","1000004028","NE능률홍제영어학원","서울특별시 서대문구 세무서길 83","2층 (홍제동)","입시.검정 및 보습","보통교과","보습","보습","40","195","","N","N","120857","개원","19880630","","99991231","19880630","20230917"
"서대문구","학원","1000004205","비상아이비츠학원","서울특별시 서대문구 증가로10길 60-22",", 2층 (남가좌동)","입시.검정 및 보습","보통교과","보습,","보습","60","73","","Y","N","03665","개원","19880824","","99991231","19880824","20230627"
"서대문구","학원","1000004271","폴인피아노음악학원","서울특별시 서대문구 세무서길 31","2층 (홍제동)","예능(대)","예능(중)","음악,","음악","420","9","","Y","N","120857","개원","19880920","","99991231","19880920","20230627"
"서대문구","학원","1000004335","연희피아노학원","서울특별시 서대문구 연희로 174","2층 (연희동)","예능(대)","예능(중)","음악,","음악","46","54","","N","N","120829","개원","19881022","","99991231","19881022","20230627"
"서대문구","학원","1000004386","인성보습학원","서울특별시 서대문구 모래내로 379","2층 (홍제동)","입시.검정 및 보습","보통교과","보습,","보습","215","80","","Y","N","120861","개원","19881114","","99991231","19881114","20230627"
"서대문구","학원","1000004621","신서당독서실","서울특별시 서대문구 응암로 28","307호 (북가좌동, 한양아파트)","독서실","독서","독서실(유아/초?중?고),","독서실(유아/초?중?고)","30","104","","Y","N","120765","개원","19890412","","99991231","19890412","20230627"
"서대문구","학원","1000004655","케이시티학원","서울특별시 서대문구 모래내로 346",", 4층 (홍은동)","입시.검정 및 보습","보통교과","보습,","보습","90","90","","Y","N","03658","개원","19890507","","99991231","19890507","20230627"
"서대문구","학원","1000005078","수연음악학원","서울특별시 서대문구 북아현로 55","4층 전체 (북아현동)","예능(대)","","음악,","","15","80","","Y","N","120190","개원","19890817","","99991231","19890817","20230827"
"서대문구","학원","1000005554","인지학원","서울특별시 서대문구 거북골로14길 5",", 4층(북가좌삼호아파트상가동) (북가좌동)","입시.검정 및 보습","보통교과","보습,","보습","90","141","","N","N","03690","개원","19900123","","99991231","19900123","20230627"
"서대문구","학원","1000005600","스카이수학학원","서울특별시 서대문구 독립문로 64",", 2,3층 (냉천동)","입시.검정 및 보습","보통교과","보습?논술,","보습?논술","136","168","","Y","N","03745","개원","19900207","","99991231","19900207","20230627"
"서대문구","학원","1000005624","정학원","서울특별시 서대문구 세검정로1길 93",", 홍은동벽산아파트상가A동 309~313호 (홍은동, 홍은벽산아파트)","입시.검정 및 보습","보통교과","보습,","보습","210","180","","Y","N","120100","개원","19900209","","99991231","19900209","20230627"
