"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"성동구","학원","1000041301","맨하탄음악학원","서울특별시 성동구 독서당로 187","극동상가 408호(옥수동)","예능(대)","예능(중)","음악,","음악","54","9","","Y","N","133844","개원","19710603","","99991231","19710603","20230627"
"성동구","학원","1000041471","글샘보습학원","서울특별시 성동구 뚝섬로 415","(성수동2가, 글샘보습학원)","입시.검정 및 보습","보통교과","보습,","보습","110","70","","N","N","133827","개원","19880618","","99991231","19880618","20230627"
"성동구","학원","1000041597","하마학습코칭학원","서울특별시 성동구 장터길 23",", 3층 (금호동3가, 세도빌딩)","입시.검정 및 보습","보통교과","보습,","보습","216","76","","Y","N","133807","개원","19880803","","99991231","19880803","20230627"
"성동구","학원","1000041614","유미스터디학원","서울특별시 성동구 행당로17길 9","(행당동)","기타(대)","기타(중)","속셈,","속셈","18","43","","Y","N","133868","개원","19881116","","99991231","19881116","20230627"
"성동구","학원","1000042048","욱이음악학원","서울특별시 성동구 왕십리로31나길 18","2층(하왕십리동)","예능(대)","예능(중)","음악,","음악","35","9","","Y","N","133020","개원","19891108","","99991231","19891108","20230627"
"성동구","학원","1000042285","끌레르음악학원","서울특별시 성동구 무학봉길 49","무학현대아파트상가동 4층일부(하왕십리동)","예능(대)","예능(중)","음악,","음악","50","30","","Y","N","133020","개원","19900322","","99991231","19900322","20230627"
"성동구","학원","1000042466","성수예원음악학원","서울특별시 성동구 성수일로12길 42","(성수2가1동)","예능(대)","예능(중)","음악,","음악","70","25","","N","N","133121","개원","19910403","","99991231","19910403","20230627"
"성동구","학원","1000042539","이스턴영어학원","서울특별시 성동구 고산자로 132",", 3층 (응봉동)","입시.검정 및 보습","보통교과","보습,","보습","60","81","","N","N","04747","개원","19921105","","99991231","19921105","20230627"
"성동구","학원","1000042692","옥수플레잉음악학원","서울특별시 성동구 한림말3길 10","3층 (옥수동)","예능(대)","예능(중)","음악,","음악","196","75","","Y","N","133840","개원","19921110","","99991231","19921110","20230627"
"성동구","학원","1000042713","성동제일수독서실","서울특별시 성동구 행당로11길 3","(행당동)","독서실","독서","독서실(유아/초?중?고),","독서실(유아/초?중?고)","299","109","","N","N","133868","개원","19920708","","99991231","19920708","20230627"
"성동구","학원","1000042776","무궁화보습학원","서울특별시 성동구 왕십리로 287","5층 (행당동)","종합(대)","","보습,정보교과,","","120","78","","Y","N","04744","개원","19930512","","99991231","19930512","20230917"
"성동구","학원","1000043049","유림컴퓨터학원","서울특별시 성동구 뚝섬로 325-1","(성수동1가)","직업기술","컴퓨터","컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","70","23","","Y","N","133110","개원","19950331","","99991231","19950331","20230627"
"성동구","학원","1000043053","국도세무컴퓨터보습학원","서울특별시 성동구 왕십리로 319","3층 (행당동)","종합(대)","","보습,컴퓨터(소),","","339","63","","N","N","133867","개원","19950609","","99991231","19950609","20230627"
"성동구","학원","1000043065","나래자동차정비학원","서울특별시 성동구 자동차시장1길 70","D동 3층일부(용답동)","직업기술","산업기반기술","자동차,","자동차","470","120","","Y","N","133850","개원","19951220","","99991231","19951220","20230627"
"성동구","학원","1000043069","심리미술고아트미술학원","서울특별시 성동구 독서당로 175",", 극동그린상가 3층 309호 (옥수동, 극동그린아파트)","예능(대)","예능(중)","미술,","미술","86","15","","N","N","04732","개원","19961018","","99991231","19961018","20230627"
"성동구","학원","1000043117","이아이이(EiE)새서영학원","서울특별시 성동구 무학봉15길 17-1","(하왕십리동)","입시.검정 및 보습","보통교과","보습,","보습","169","105","","Y","N","133020","개원","19960229","","99991231","19960229","20230627"
"성동구","학원","1000043278","금호음악학원","서울특별시 성동구 금호산길 42","(금호동2가)","예능(대)","예능(중)","음악,","음악","160","28","","Y","N","133803","개원","19970801","","99991231","19970801","20230627"
"성동구","학원","1000043399","성수아인스보습학원","서울특별시 성동구 상원길 46",", 3층 일부 (성수동1가)","입시.검정 및 보습","보통교과","보습,","보습","60","75","","Y","N","04790","개원","19980707","","99991231","19980707","20230627"
