"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"성북구","학원","1000043930","서울간호학원","서울특별시 성북구 동소문로 113",", 4,5층 (동선동4가,태인빌딩)","직업기술","간호보조기술","간호조무사,","간호조무사","202","101","","Y","N","136054","개원","19701107","","99991231","19701107","20230627"
"성북구","학원","1000043969","가우디미술학원","서울특별시 성북구 동소문로22길 4",", 4층 (동선동1가)","예능(대)","예능(중)","미술,","미술","136","68","","Y","N","136051","개원","19720823","","99991231","19720823","20230627"
"성북구","학원","1000043977","큰별음악학원","서울특별시 성북구 솔샘로4길 46","외 5필지 성신플라자 401호 4층 (정릉동)","예능(대)","예능(중)","음악,","음악","90","65","","Y","N","136850","개원","19720214","","99991231","19720214","20230627"
"성북구","학원","1000044018","하얀나무미술학원","서울특별시 성북구 동소문로 122","2-3층 (동선동1가)","예능(대)","예능(중)","미술,","미술","120","30","","Y","N","136051","개원","19751105","","99991231","19751105","20230627"
"성북구","학원","1000044568","으뜸보습학원","서울특별시 성북구 정릉로27길 25","(정릉동)","입시.검정 및 보습","보통교과","보습,","보습","10","192","","N","N","136845","개원","19890320","","99991231","19890320","20230627"
"성북구","학원","1000044579","안암보습학원","서울특별시 성북구 종암로19길 13","3층 (종암동)","입시.검정 및 보습","보통교과","보습,","보습","64","136","","Y","N","136861","개원","19890403","","99991231","19890403","20230627"
"성북구","학원","1000044833","라온음악학원","서울특별시 성북구 보국문로16길 74","2층 (정릉동)","예능(대)","예능(중)","음악,","음악","246","41","","Y","N","136849","개원","19891004","","99991231","19891004","20230627"
"성북구","학원","1000044904","안선생보습학원","서울특별시 성북구 종암로 73",", 4층 일부 (종암동)","입시.검정 및 보습","보통교과","보습,","보습","120","66","","N","N","136858","개원","19891109","","99991231","19891109","20230627"
"성북구","학원","1000045167","아이즈학원","서울특별시 성북구 서경로 55",", 4층 일부 (정릉동, 서륭빌딩)","입시.검정 및 보습","보통교과","보습,","보습","96","68","","Y","N","136846","개원","19900310","","99991231","19900310","20230627"
"성북구","학원","1000045410","대성미용학원","서울특별시 성북구 도봉로 31",", 3층 (길음동)","직업기술","산업응용기술","이?미용,","이?미용","129","43","","Y","N","136800","개원","19910108","","99991231","20190822","20230627"
"성북구","학원","1000045547","칸타빌레음악학원","서울특별시 성북구 돌곶이로18길 14","(석관동)","예능(대)","예능(중)","음악,","음악","54","9","","Y","N","136818","개원","19910719","","99991231","19910719","20230627"
"성북구","학원","1000045667","지영음악학원","서울특별시 성북구 아리랑로19길 20","(정릉동, 영신빌딩)","예능(대)","예능(중)","음악,","음악","108","18","","Y","N","136843","개원","19920305","","99991231","19920305","20230627"
"성북구","학원","1000045961","진무용학원","서울특별시 성북구 종암로 186","3층 (하월곡동)","예능(대)","예능(중)","무용,","무용","45","15","","Y","N","136130","개원","19950603","20200201","20210131","19950603","20230627"
"성북구","학원","1000045970","제일컴퓨터학원","서울특별시 성북구 정릉로31나길 8","1-2층 (정릉동)","직업기술","컴퓨터","컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","30","135","","N","N","136840","개원","19950712","20200224","20200419","19950712","20230627"
"성북구","학원","1000046079","안암명문보습학원","서울특별시 성북구 안암로 95-3",", 2층전체 (안암동5가,우림빌딩)","입시.검정 및 보습","보통교과","보습,","보습","120","40","","Y","N","136075","개원","19950926","","99991231","19950826","20230627"
