"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"송파구","학원","1000022052","세림음악학원","서울특별시 송파구 올림픽로35길 112",", 장미비상가1동 407호 (신천동)","예능(대)","예능(중)","음악,","음악","140","120","","Y","N","05504","개원","19790731","","99991231","19790731","20230627"
"송파구","학원","1000022179","베르디음악학원","서울특별시 송파구 오금로 432",", 3층 303호 (가락동)","예능(대)","예능(중)","음악,","음악","90","37","","Y","N","138745","개원","19821206","","99991231","19821206","20230627"
"송파구","학원","1000022186","세종보습학원","서울특별시 송파구 오금로 538",", 2층 (거여동)","입시.검정 및 보습","보통교과","보습,","보습","60","30","","Y","N","138814","개원","19820727","","99991231","19820727","20230627"
"송파구","학원","1000022294","예강음악학원","서울특별시 송파구 올림픽로4길 40",", 3층 301호  (잠실동, 우성아파트  상가2동)","예능(대)","예능(중)","음악,","음악","40","20","","Y","N","05571","개원","19830428","","99991231","19830428","20230627"
"송파구","학원","1000022349","석촌프라임독서실","서울특별시 송파구 가락로11길 8",", 3층 (석촌동)","독서실","독서","독서실(유아/초?중?고),","독서실(유아/초?중?고)","200","50","","Y","N","138846","개원","19831214","","99991231","19831214","20230627"
"송파구","학원","1000022514","클랑쿤스트미술학원","서울특별시 송파구 가락로28길 15","(송파동)","예능(대)","예능(중)","미술,","미술","25","50","","Y","N","138854","개원","19841130","","99991231","19841130","20230627"
"송파구","학원","1000022564","가온음악학원","서울특별시 송파구 올림픽로12길 54",", 2층 (잠실동)","예능(대)","예능(중)","음악,","음악","61","15","","Y","N","05569","개원","19850323","","99991231","19850323","20230627"
"송파구","학원","1000022680","늘하늘음악학원","서울특별시 송파구 가락로 176",", 3층일부 (송파동)","예능(대)","예능(중)","","음악","100","60","","Y","N","138854","개원","19850128","","99991231","19850128","20230627"
"송파구","학원","1000022706","예윤음악학원","서울특별시 송파구 오금로44길 50-22",", 3층 전체 (가락동)","예능(대)","예능(중)","","음악","30","10","","Y","N","05784","개원","19851130","","99991231","19851130","20230627"
"송파구","학원","1000022726","삼전뮤엠영어보습학원","서울특별시 송파구 백제고분로28길 24",", (2층) (삼전동)","입시.검정 및 보습","보통교과","","보습","48","40","","Y","N","138838","개원","19850225","","99991231","19850225","20230627"
