"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"양천구","학원","1000030138","청목연세학원","서울특별시 양천구 월정로 155","2 3층 (신월동)","입시.검정 및 보습","보통교과","보습,","보습","170","50","","Y","N","158827","개원","19821130","","99991231","19821130","20230627"
"양천구","학원","1000030363","초롱큰나무학원","서울특별시 양천구 남부순환로57길 2","3층일부 (신월동)","종합(대)","","보습,미술,","","158","127","","Y","N","158828","개원","19841026","","99991231","19841002","20230627"
"양천구","학원","1000030454","동인음악학원","서울특별시 양천구 오목로 69",", 2층 (신월동)","예능(대)","예능(중)","","음악","110","63","","Y","N","07936","개원","19850122","","99991231","19850122","20230627"
"양천구","학원","1000030471","진원컴퓨터학원","서울특별시 양천구 화곡로 41","3층일부 (신월동)","기타(대)","기타(중)","컴퓨터(소),","컴퓨터(소)","150","120","","Y","N","158822","개원","19851011","","99991231","19851011","20230730"
"양천구","학원","1000030545","강서아뜰리에뷰티아카데미미용학원","서울특별시 양천구 오목로 193",", 5층 (신정동)","직업기술","","이?미용,","","510","60","","Y","N","07944","개원","19861112","","99991231","19861112","20230730"
"양천구","학원","1000030565","야국피아노음악학원","서울특별시 양천구 중앙로29길 115",", 2층 (신월동)","예능(대)","예능(중)","","음악","70","80","","Y","N","08062","개원","19860619","","99991231","19860619","20230627"
"양천구","학원","1000030624","목동최상학원","서울특별시 양천구 중앙로32길 55",", 502호 (신정동)","입시.검정 및 보습","보통교과","보습,","보습","56","24","","Y","N","08086","개원","19870814","","99991231","19870814","20230627"
"양천구","학원","1000030688","연세속셈학원","서울특별시 양천구 중앙로 269",", 3층 (신정동)","기타(대)","기타(중)","속셈,","속셈","36","120","","Y","N","158864","개원","19870905","","99991231","19870905","20230730"
"양천구","학원","1000030747","예원아트미술학원","서울특별시 양천구 목동중앙남로4길 16","2 3층 (목동)","예능(대)","예능(중)","미술,","미술","15","92","","Y","N","158818","개원","19870213","","99991231","19870213","20230627"
"양천구","학원","1000030806","현대정보컴퓨터학원","서울특별시 양천구 오목로 136",", 2층 일부 (신정동)","직업기술","컴퓨터","","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","270","60","","Y","N","08019","개원","19880307","","99991231","19880307","20230627"
"양천구","학원","1000030854","아름다운음악학원","서울특별시 양천구 월정로29길 9-1",", 1 (신월동)","예능(대)","예능(중)","","음악","100","40","","Y","N","07922","개원","19880311","","99991231","19880311","20230627"
"양천구","학원","1000030916","영일음악학원","서울특별시 양천구 목동서로 400","목동아파트10단지B상가304호일부 305호 (신정동)","예능(대)","예능(중)","음악,","음악","24","48","","Y","N","158071","개원","19880610","","99991231","19880610","20230627"
"양천구","학원","1000031147","경희음악학원","서울특별시 양천구 오목로52길 9",", 2층 (목동)","예능(대)","예능(중)","음악,무용,","음악","140","120","","Y","N","08003","개원","19881220","","99991231","19881220","20230730"
"양천구","학원","1000031157","예랑음악학원","서울특별시 양천구 지양로3길 7","302호 (신월동)","예능(대)","예능(중)","음악,","음악","45","56","","Y","N","158846","개원","19880726","","99991231","19880726","20230627"
