"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"영등포구","학원","1000009202","한미간호조무사학원","서울특별시 영등포구 영등포로 216-1",", 3층일부, 4층 (영등포동3가)","직업기술","간호보조기술","간호조무사,","간호조무사","240","181","","Y","N","07302","개원","19701224","","99991231","19701224","20230627"
"영등포구","학원","1000009384","창조미술학원","서울특별시 영등포구 시흥대로 671",", 3층 3호 (대림동)","예능(대)","예능(중)","미술,","미술","50","120","","N","N","07442","개원","19790903","","99991231","19790903","20230627"
"영등포구","학원","1000009577","동아요리기술학원","서울특별시 영등포구 경인로 875-1","2층 영등포동3가","직업기술","산업응용기술","식음료품(바리스타,소믈리에),","식음료품(바리스타,소믈리에)","454","40","","Y","N","150033","개원","19821018","","99991231","19821018","20230627"
"영등포구","학원","1000009838","엘리트음악학원","서울특별시 영등포구 여의대방로 45","삼성아파트 상가 203호 신길동","예능(대)","예능(중)","음악,","음악","12","60","","N","N","150860","개원","19841002","","99991231","19841002","20230627"
"영등포구","학원","1000009973","피아노와함께학원","서울특별시 영등포구 국회대로29길 3","3층 당산동4가","예능(대)","예능(중)","음악,","음악","61","13","","N","N","150806","개원","19850223","","99991231","19850223","20230627"
"영등포구","학원","1000010085","신중앙컴퓨터학원","서울특별시 영등포구 신길로 172",", 2층 일부 (신길동)","직업기술","컴퓨터","컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","48","50","","N","N","07362","개원","19860111","","99991231","19860111","20230627"
"영등포구","학원","1000010158","한별음악학원","서울특별시 영등포구 도신로4길 17",", 용현빌딩 3층 일부 (대림동, 용현빌딩)","예능(대)","예능(중)","음악,","음악","72","48","","Y","N","07377","개원","19860715","","99991231","19860715","20230627"
"영등포구","학원","1000010244","민속한복학원","서울특별시 영등포구 영신로 29",", 5층 (영등포동)","직업기술","산업응용기술","디자인,","디자인","75","64","","N","N","150030","개원","19870824","","99991231","19870824","20230627"
"영등포구","학원","1000010267","동아제과제빵기술학원","서울특별시 영등포구 양산로 186",",  4층 (영등포동6가,백상빌딩)","직업기술","산업응용기술","식음료품(바리스타,소믈리에),","식음료품(바리스타,소믈리에)","471","96","","N","N","150036","개원","19871127","","99991231","19871127","20230627"
"영등포구","학원","1000010454","동방디자인학원","서울특별시 영등포구 경인로 886",",  5층 (영등포동1가,서울빌딩)","직업기술","산업응용기술","디자인,","디자인","1725","71","","N","N","150031","개원","19871113","","99991231","19871113","20230627"
"영등포구","학원","1000010615","이화피아노학원","서울특별시 영등포구 선유동2로 46","유원2차상가 207호당산동5가","예능(대)","예능(중)","음악,","음악","54","54","","N","N","150045","개원","19880115","","99991231","19880120","20230627"
"영등포구","학원","1000010726","신동음악학원","서울특별시 영등포구 대림로31길 40","대림동","예능(대)","예능(중)","음악,","음악","27","54","","N","N","150764","개원","19880425","","99991231","19880425","20230627"
"영등포구","학원","1000010861","장학학원","서울특별시 영등포구 대림로 247",", 302호, 304호 (대림동, 대림프라자)","입시.검정 및 보습","보통교과","보습,","보습","239","170","","Y","N","07377","개원","19881103","","99991231","19881103","20230627"
"영등포구","학원","1000010917","신한샘학원","서울특별시 영등포구 도신로60길 8-1","3층 신길동","입시.검정 및 보습","보통교과","보습,","보습","50","60","","N","N","150839","개원","19880804","","99991231","19880804","20230627"
"영등포구","학원","1000011057","성민열관리기술학원","서울특별시 영등포구 경인로 872","5층 영등포동1가","직업기술","산업기반기술","기계,","기계","130","120","","Y","N","150031","개원","19891219","","99991231","19891219","20230627"
"영등포구","학원","1000011113","소리엘피아노학원","서울특별시 영등포구 문래로20길 14",", 상가 201호 (문래동3가, 문래공원한신아파트)","예능(대)","예능(중)","","음악","108","54","","Y","N","150836","개원","19890203","","99991231","19890203","20230627"
"영등포구","학원","1000011131","신중앙음악학원","서울특별시 영등포구 당산로31길 19",", 2층 (당산동3가)","예능(대)","예능(중)","","음악","108","54","","N","N","07261","개원","19890223","","99991231","19890223","20230627"
"영등포구","학원","1000011147","메카(MECA)수학영어학원","서울특별시 영등포구 여의대방로 55",", 6층일부 (신길동,신길프라자)","입시.검정 및 보습","보통교과","","보습","76","98","","Y","N","150860","개원","19890303","","99991231","19890303","20230627"
"영등포구","학원","1000011193","유니버학원","서울특별시 영등포구 영신로20길 4",", 2~3층 (영등포동)","입시.검정 및 보습","보통교과","보습,","보습","340","73","","N","N","07307","개원","19890425","","99991231","19890425","20230627"
"영등포구","학원","1000011253","지음음악학원","서울특별시 영등포구 당산로41길 23","현대상가 302,304호 당산동4가","예능(대)","예능(중)","음악,","음악","10","54","","N","N","150753","개원","19890605","","99991231","19890605","20230627"
"영등포구","학원","1000011370","문래현대음악학원","서울특별시 영등포구 문래로4길 4","현대2차아파트상가 201,202호 문래동6가","예능(대)","예능(중)","음악,","음악","40","90","","Y","N","150096","개원","19890828","","99991231","19890828","20230627"
