"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"용산구","학원","1000019907","한국자동차정비학원","서울특별시 용산구 한강대로 375","(동자동, 한독오토모티브컬리지)","직업기술","산업기반기술","자동차,","자동차","1070","255","","Y","N","04320","개원","19670508","","99991231","19670508","20230627"
"용산구","학원","1000020298","국제칵테일교육학원","서울특별시 용산구 한강대로 397","7층 9층 (동자동)","직업기술","산업응용기술","식음료품(바리스타,소믈리에),","식음료품(바리스타,소믈리에)","30","120","","Y","N","140821","개원","19730501","","99991231","19730501","20230627"
"용산구","학원","1000020596","예진음악학원","서울특별시 용산구 보광로 30","(보광동)","예능(대)","예능(중)","음악,","음악","40","24","","Y","N","140823","개원","19891213","","99991231","19891213","20230627"
"용산구","학원","1000020719","화인컴퓨터학원","서울특별시 용산구 우사단로 2-1","5층 일부 (보광동)","직업기술","컴퓨터","컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","210","56","","Y","N","140823","개원","19900119","","99991231","19900119","20230627"
"용산구","학원","1000020768","용산한맥프라임학원","서울특별시 용산구 신흥로 72","1층,2층(용산동2가)","입시.검정 및 보습","보통교과","보습,","보습","495","131","","Y","N","140841","개원","19900718","20140730","20140805","19900718","20230627"
"용산구","학원","1000020795","삼육외국어학원","서울특별시 용산구 한강대로81길 26","(갈월동)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","360","150","","Y","N","140807","개원","19901029","","99991231","19901029","20230627"
"용산구","학원","1000020813","소리샘음악학원","서울특별시 용산구 새창로20길 9","(신영동)","예능(대)","예능(중)","음악,","음악","42","42","","Y","N","140832","개원","19901211","","99991231","19901211","20230627"
"용산구","학원","1000020979","도올미술학원","서울특별시 용산구 두텁바위로1길 105","(후암동)","예능(대)","예능(중)","미술,","미술","70","81","","Y","N","140900","개원","19921021","","99991231","19921021","20230627"
"용산구","학원","1000021198","윤선생영어숲청파보습학원","서울특별시 용산구 효창원로94길 3",", 2층 (청파동1가)","입시.검정 및 보습","보통교과","보습,","보습","75","59","","N","N","140131","개원","19951120","","99991231","19951120","20230627"
"용산구","학원","1000021563","중앙요리학원","서울특별시 용산구 한강대로 328","3층-4층 (갈월동)","직업기술","산업응용기술","식음료품(바리스타,소믈리에),","식음료품(바리스타,소믈리에)","255","108","","Y","N","140801","개원","19981209","","99991231","19981209","20230627"
"용산구","학원","1000021599","가톨릭간호학원","서울특별시 용산구 한강대로 283","세종빌딩 5층 일부 (갈월동)","직업기술","간호보조기술","","간호조무사","60","148","","Y","N","140807","개원","19990407","","99991231","19990407","20230627"
"용산구","학원","1000021687","종로엘리트학원","서울특별시 용산구 효창원로 218",", 2층 (청파동2가, 리챠드빌딩)","입시.검정 및 보습","보통교과","보습,","보습","120","67","","Y","N","140132","개원","19991203","","99991231","19991203","20230627"
"용산구","학원","1000021804","마포메이플베어캐나다문화어학원","서울특별시 용산구 원효로 51",", 409호 (산천동, 삼성테마트)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","60","185","","Y","N","04359","개원","20001012","","99991231","20001012","20230627"
"용산구","학원","1000021805","아마데우스음악학원","서울특별시 용산구 원효로 51",", ,406호 (산천동,삼성테마트)","예능(대)","예능(중)","음악,","음악","62","19","","Y","N","140040","개원","20001016","","99991231","20001016","20230627"
"용산구","학원","1000021900","21C이화음악학원","서울특별시 용산구 새창로 70","삼성래미안아파트 상가 404호 (도원동)","예능(대)","예능(중)","음악,","음악","8","14","","Y","N","140748","개원","20010828","","99991231","20010828","20230627"
"용산구","학원","1000021932","열공학원","서울특별시 용산구 후암로 40-2","3층 (후암동)","입시.검정 및 보습","보통교과","보습,","보습","215","60","","Y","N","140901","개원","20011109","","99991231","20011109","20230627"
"용산구","학원","1000021990","퓨쳐스베스트학원","서울특별시 용산구 이촌로 200",", 201-202호 (이촌동, LG프라자)","입시.검정 및 보습","보통교과","","보습","58","77","","Y","N","04427","개원","20020430","","99991231","20020430","20230627"
"용산구","학원","10201","예봄음악학원","서울특별시 용산구 서빙고로91나길 104","1층 (동빙고동)","예능(대)","예능(중)","음악,","음악","84","52","","Y","N","140810","개원","20050608","","99991231","20050608","20230627"
"용산구","학원","10686","피에스에이용산어학학원","서울특별시 용산구 신흥로 14  1-3층","(용산동2가, 상가3동)","종합(대)","","실용외국어(유아/초?중?고),진학상담지도","","130","525","","Y","N","140842","개원","20050721","","99991231","20050721","20231015"
"용산구","학원","10714","더블유씨케이어학원","서울특별시 용산구 이촌로 174  105동","2층(이촌동, 동부센트레빌아파트)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","36","149","","Y","N","140771","개원","20050726","20200706","20201231","20050726","20230627"
"용산구","학원","1078","밤비니어학원","서울특별시 용산구 독서당로 121",", 1~4층 (한남동, TETRAPAK)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","800","471","","Y","N","140884","개원","20030110","","99991231","20030110","20230827"
"용산구","교습소","10920","빛샘음악교습소","서울특별시 용산구 원효로 51",", 311호-A (산천동,삼성테마트)","예능(대)","예능(중)","피아노(초급)","음악","20","4","피아노(초급):150000, 피아노(중급):170000, 바이올린(초급):220000, 바이올린(중급:250000","Y","N","140040","개원","20050818","","99991231","20050818","20230627"
"용산구","학원","11850","보스톤영재학원","서울특별시 용산구 우사단로4길 94",", 2층 (보광동)","입시.검정 및 보습","보통교과","보습,","보습","120","71","","Y","N","04413","개원","20051116","","99991231","20051116","20230627"
"용산구","학원","1232","ebest도원학원","서울특별시 용산구 새창로 70","도원삼성래미안아파트 상가동 406호 (도원동)","입시.검정 및 보습","보통교과","","보습","104","84","","Y","N","140748","개원","20020928","","99991231","20020928","20230627"
"용산구","학원","1247","샌프란시스코음악학원","서울특별시 용산구 새창로 70","도원삼성래미안 상가 305호 (도원동)","예능(대)","예능(중)","","음악","59","30","","Y","N","140748","개원","20020716","","99991231","20020716","20230627"
"용산구","교습소","13032","가우스수학교습소","서울특별시 용산구 소월로20길 27",", 302호 (용산동2가)","입시.검정 및 보습","보통교과","초등 수학","보습","30","6","","N","N","04338","개원","20060309","","99991231","20060309","20230627"
"용산구","교습소","13404","신고운소리피아노음악교습소","서울특별시 용산구 후암로13가길 2","1층 (후암동)","예능(대)","예능(중)","","음악","18","4","피아노1(바이엘):90000, 피아노2(바이엘):80000, 피아노3(체르니100):100000, 피아노4(체르니100):90000, 피아노5(체르니30):110000, 피아노6(체르니30):100000, 피아노7(체르니40):120000, 피아노8(체르니40):110000, 피아노1(바이엘):120000, 피아노2(체르니100):130000, 피아노3(체르니30):140000, 피아노4(체르니40):145000, 피아노5(입시):200000","N","N","140901","개원","20060411","","99991231","20060411","20230627"
"용산구","학원","13684","SJ발레아카데미학원","서울특별시 용산구 효창원로64길 2",", 2층 (효창동)","예능(대)","예능(중)","무용,","무용","36","57","","N","N","04317","개원","20060516","","99991231","20060516","20230627"
"용산구","교습소","13716","청파해법영어교습소","서울특별시 용산구 효창원로94길 27","1층 (청파동1가)","입시.검정 및 보습","보통교과","영어초등","보습","36","9","영어초등:155000, 영어중등:185000, 영어고등:235000, 영어초등:135000","Y","N","140869","개원","20060517","","99991231","20060517","20230627"
"용산구","교습소","16483","청화피아노교습소","서울특별시 용산구 장문로 27","청화아파트 상가 202호 (이태원동)","예능(대)","예능(중)","피아노 초급1","음악","20","4","","Y","N","140731","개원","20070306","","99991231","20070306","20230627"
"용산구","교습소","17072","하늘공원미술교습소","서울특별시 용산구 원효로 51",", 208호 (산천동,리버힐삼성아파트상가)","예능(대)","예능(중)","미술(주1회)","미술","20","9","미술(주1회):60000, 미술(주2회):110000, 미술(주3회):140000, 미술(주4회):160000","N","N","140040","개원","20070418","","99991231","20070418","20230627"
"용산구","학원","17802","베베궁이촌학원","서울특별시 용산구 이촌로84길 9","(이촌동,유일빌딩)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","72","204","","Y","N","140853","개원","20070510","","99991231","20070510","20230627"
"용산구","학원","18022","티앤엘어학원","서울특별시 용산구 이촌로 192",", 제일맨션 1층 (이촌동)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","60","147","","Y","N","140854","개원","20070814","","99991231","20070814","20230627"
"용산구","교습소","18253","예쁜손음악교습소","서울특별시 용산구 이촌로18길 21-6","이촌상가 201호 (이촌동)","예능(대)","예능(중)","피아노 기초(주2회)","음악","77","9","피아노 기초(주2회):100000, 피아노 기초(주3회):100000, 피아노 기초(주5회):110000, 피아노 일반(주3회):110000, 피아노 일반(주5회):120000, 피아노 고급(입시) 주2회:120000, 피아노 고급(주3회):120000, 피아노 체르니30(고급) 주5회:130000, 클라리넷 고급(입시) 주2회:110000, 클라리넷 입시(고급) 주3회:130000, 클라리넷 입시(고급) 주5회:150000, 피아노 고급(입시) 주3회:140000, 피아노 고급(입시) 주2회:140000","Y","N","140909","개원","20070910","","99991231","20070910","20230627"
"용산구","교습소","19087","홍익미술교습소","서울특별시 용산구 우사단로2길 61","1층 (보광동)","예능(대)","예능(중)","미술","미술","9","9","","Y","N","140824","개원","20071212","","99991231","20071212","20230627"
"용산구","학원","19525","예꼬음악학원","서울특별시 용산구 후암로35길 38","(후암동)","예능(대)","예능(중)","음악,","음악","171","46","","Y","N","140900","개원","20080130","","99991231","20080201","20230627"
"용산구","교습소","2000037404","청파서예교습소","서울특별시 용산구 청파로45길 5","(청파동)","기타(대)","기타(중)","서예","서예","9","9","서예:150000","N","N","140133","개원","19870910","","99991231","19870910","20230627"
"용산구","교습소","2000038226","이화음악교습소","서울특별시 용산구 이촌로 100-11","(이촌동)","예능(대)","예능(중)","피아노초급","음악","25","5","","Y","N","140855","개원","20010210","","99991231","20080114","20230627"
"용산구","교습소","2000038762","명지해법수학교습소","서울특별시 용산구 이촌로 280","203호 (이촌동)","입시.검정 및 보습","보통교과","초등수학","보습","14","7","","N","N","140853","개원","19850322","","99991231","19850322","20230627"
"용산구","교습소","2000039279","비엔나피아노","서울특별시 용산구 이촌로 280","명지상가 3층 2호 (이촌동)","예능(대)","예능(중)","피아노 초급","음악","10","5","피아노 초급:150000, 피아노 중급:160000","N","N","140853","개원","19980507","","99991231","19980507","20230627"
"용산구","교습소","2000039289","영신피아노교습소","서울특별시 용산구 서빙고로67길 25","(서빙고동)","예능(대)","예능(중)","피아노 초급","음악","15","5","피아노 초급:110000, 피아노 중급:130000, 피아노 고급:150000","N","N","04398","개원","19820121","","99991231","19820121","20230827"
"용산구","교습소","2000039319","예원피아노","서울특별시 용산구 후암로49길 17-6","지층 (동자동)","예능(대)","예능(중)","피아노 (바이엘)","음악","25","5","피아노 (바이엘):100000, 피아노 (체르니100):110000, 피아노 (체르니30):120000, 피아노 (체르니40):130000, 피아노 (체르니50이상):140000","N","N","140818","개원","19820215","","99991231","19820215","20230627"
"용산구","교습소","2000039387","리전화실미술교습소","서울특별시 용산구 이촌로 280",", 명지상가 3층 6호 (이촌동)","예능(대)","예능(중)","미술","미술","36","9","","N","N","04426","개원","19980224","","99991231","19980224","20230627"
"용산구","교습소","2000039510","원피아노","서울특별시 용산구 소월로20길 59","","예능(대)","예능(중)","피아노 초급","음악","15","9","피아노 초급:80000, 피아노 중급:90000, 피아노 고급:100000","N","N","140842","개원","19820129","","99991231","19820129","20230627"
"용산구","교습소","2000039669","뮤직음악교습소","서울특별시 용산구 이촌로 347",", 303호(서빙고동 241-4외 1필지) (서빙고동, 신동아아파트)","예능(대)","예능(중)","피아노 주3회","음악","10","5","피아노 주3회:100000, 피아노 주5회:170000","N","N","04428","개원","19850227","","99991231","19850227","20230627"
"용산구","교습소","2000039881","빛나피아노","서울특별시 용산구 효창원로86길 72","","예능(대)","예능(중)","피아노(바이엘)","음악","10","5","피아노(바이엘):110000, 피아노(체르니):120000","Y","N","140132","개원","19920325","","99991231","19920325","20230627"
"용산구","교습소","2000040078","라라음악원음악교습소","서울특별시 용산구 두텁바위로1길 110","1층 (후암동)","예능(대)","예능(중)","바이엘5","음악","52","4","바이엘5:140000, 바이엘4:130000, 바이엘3(고급):120000, 체르니100 5:150000, 체르니100 4:140000, 체르니100 3(고급):130000, 체르니30 5:160000, 체르니30 4:150000, 체르니30 3(고급):140000, 체르니40 5:170000, 체르니40 4(고급):160000, 체르니40 3(고급):150000, 피아노(입시):250000","N","N","140900","개원","19830729","","99991231","19830729","20230627"
"용산구","교습소","2000040101","멜라니아피아노교습소","서울특별시 용산구 후암로28길 27",", 2층 (후암동)","예능(대)","예능(중)","피아노(초급)","음악","9","3","피아노(초급):90000, 피아노(중급):95000, 피아노(고급):100000","N","N","140899","개원","20001016","","99991231","20001016","20230627"
"용산구","교습소","2000040171","라엘피아노음악교습소","서울특별시 용산구 효창원로 142",", 3층 (효창동)","예능(대)","예능(중)","피아노 고급(주2회)","음악","52","6","피아노 고급(주2회):110000, 피아노 고급(주3회):140000, 피아노 고급(주4회):170000, 피아노 고급(콩쿨/주4회):200000, 우쿨렐레 고급(주2회):70000","Y","N","04317","개원","19990224","","99991231","19990224","20230917"
