"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"은평구","학원","1000004076","로뎀나무미술학원","서울특별시 은평구 서오릉로 152","2층 (갈현동)","예능(대)","예능(중)","미술,","미술","40","80","","Y","N","122813","개원","19880706","","99991231","19880706","20230627"
"은평구","학원","1000004123","메가펀아카데미학원","서울특별시 은평구 은평로16길 4","2층 (응암동)","입시.검정 및 보습","보통교과","보습,","보습","184","20","","Y","N","122906","개원","19880721","","99991231","19880721","20230627"
"은평구","학원","1000004232","신연세음악학원","서울특별시 은평구 증산로15길 70","5층 (신사동)","예능(대)","예능(중)","음악,","음악","90","31","","N","N","122885","개원","19880830","","99991231","19880830","20230627"
"은평구","학원","1000004429","서부보습학원","서울특별시 은평구 연서로4길 20","2층 (역촌동)","입시.검정 및 보습","보통교과","보습,","보습","20","100","","N","N","122899","개원","19881215","","99991231","19881215","20230627"
"은평구","학원","1000004456","대조기찬학원","서울특별시 은평구 서오릉로10길 21","2층 (대조동)","입시.검정 및 보습","보통교과","보습,","보습","240","50","","N","N","122838","개원","19881227","","99991231","19881227","20230627"
"은평구","학원","1000004604","미성연세음악학원","서울특별시 은평구 통일로 752-21","3층 (불광동)","예능(대)","예능(중)","음악,","음악","54","36","","N","N","122857","개원","19890404","","99991231","19890404","20230627"
"은평구","학원","1000004781","맥스터디학원","서울특별시 은평구 통일로69길 16","2.3층 (대조동)","입시.검정 및 보습","보통교과","보습?논술,","보습?논술","87","163","","Y","N","122947","개원","19890613","","99991231","19890613","20230627"
"은평구","학원","1000004962","동인음악학원","서울특별시 은평구 증산로3길 8-16",", 102호 (증산동, 선정 아파트)","예능(대)","예능(중)","음악,","음악","120","55","","N","N","03500","개원","19890803","","99991231","19890803","20230627"
"은평구","학원","1000005314","전원피아노음악학원","서울특별시 은평구 연서로41길 3",", 2층 (불광동)","예능(대)","예능(중)","음악,","음악","6","72","","Y","N","03343","개원","19891101","","99991231","19891101","20230627"
"은평구","학원","1000005353","이화수리음악학원","서울특별시 은평구 불광로 124","2층 (불광동)","예능(대)","예능(중)","음악,","음악","56","40","","Y","N","122847","개원","19891120","","99991231","19891120","20230627"
"은평구","학원","1000005396","한솔플러스수학영어구산학원","서울특별시 은평구 서오릉로15길 6","2층 (구산동)","입시.검정 및 보습","보통교과","보습,","보습","63","40","","Y","N","122823","개원","19891206","","99991231","19891206","20230627"
"은평구","학원","1000005404","이슬음악학원","서울특별시 은평구 연서로11길 20-4",", 2층 (구산동)","예능(대)","예능(중)","음악,","음악","108","36","","N","N","03413","개원","19891206","","99991231","19891206","20230627"
"은평구","학원","1000005736","어메이징사운드학원","서울특별시 은평구 갈현로 291-1","2층 (갈현동)","예능(대)","예능(중)","음악,","음악","103","26","","Y","N","122811","개원","19900305","","99991231","19900305","20230627"
"은평구","학원","1000005742","잼콩음악학원","서울특별시 은평구 가좌로 280","3층 (신사동)","예능(대)","예능(중)","음악,","음악","30","31","","Y","N","122882","개원","19900308","","99991231","19900308","20230627"
"은평구","학원","1000006027","대조보습학원","서울특별시 은평구 연서로18길 14-1","2층 (대조동)","입시.검정 및 보습","","보습,","","170","200","","Y","N","122845","개원","19901212","","99991231","19901212","20230730"
"은평구","학원","1000006067","예지피아노학원","서울특별시 은평구 응암로12길 30","(응암동)","예능(대)","예능(중)","음악,","음악","30","54","","N","N","122952","개원","19910111","","99991231","19910111","20230627"
"은평구","학원","1000006070","제일음악학원","서울특별시 은평구 서오릉로21길 11",", 301호 (구산동)","예능(대)","예능(중)","음악,","음악","80","28","","N","N","03425","개원","19910114","","99991231","19910114","20230627"
"은평구","학원","1000006487","은평하이클래스학원","서울특별시 은평구 가좌로 179",", 5층 우측 (응암동)","입시.검정 및 보습","보통교과","보습,","보습","128","90","","Y","N","03479","개원","19920317","","99991231","19920317","20230627"
"은평구","학원","1000006659","명문학원","서울특별시 은평구 진흥로 160","2.3층 (녹번동)","입시.검정 및 보습","보통교과","","보습","63","180","","N","N","122832","개원","19920914","","99991231","19920914","20230627"
"은평구","학원","1000006830","예일무용학원","서울특별시 은평구 연서로 137 ()","","예능(대)","예능(중)","","무용","27","12","","N","N","122819","개원","19921226","","99991231","19921226","20230627"
"은평구","학원","1000006851","맑은아침음악학원","서울특별시 은평구 연서로41길 15","3층 (불광동)","예능(대)","예능(중)","음악,","음악","9","60","","Y","N","122868","개원","19930312","","99991231","19930312","20230627"
"은평구","학원","1000006906","하늘소리실용음악학원","서울특별시 은평구 증산로7길 16",", 3,4층 일부 (증산동,세운합기도)","기예(대)","기예(중)","실용음악,","실용음악(성악)","63","40","","Y","N","122938","개원","19930803","","99991231","19930803","20230627"
"은평구","학원","1000007413","에스피학원","서울특별시 은평구 가좌로 180","2.3층 (응암동)","입시.검정 및 보습","보통교과","보습,","보습","316","158","","Y","N","122929","개원","19950914","","99991231","19950914","20230730"
"은평구","학원","1000007459","홍익보습학원","서울특별시 은평구 연서로3길 10","2.3.4층 (역촌동)","입시.검정 및 보습","보통교과","보습","보습","50","159","","Y","N","122901","개원","19950922","","99991231","19950922","20231008"
"은평구","학원","1000007583","한맥키스톤학원","서울특별시 은평구 진흥로1길 36","5층 (역촌동)","입시.검정 및 보습","보통교과","보습,","보습","48","50","","Y","N","122897","개원","19951103","","99991231","19951103","20230627"
"은평구","학원","1000007788","뉴욕발레아트학원","서울특별시 은평구 은평로 157","3층 (응암동)","예능(대)","예능(중)","무용,","무용","50","45","","N","N","122907","개원","19960318","","99991231","19960318","20230627"
"은평구","학원","1000008127","1%하이스트영어수학학원","서울특별시 은평구 증산서길 64-14",", 2층 (증산동)","입시.검정 및 보습","보통교과","보습,","보습","40","50","","Y","N","03500","개원","19971229","","99991231","19971229","20230627"
"은평구","학원","1000008273","은평창조의아침미술학원","서울특별시 은평구 서오릉로 159","3.4층 (구산동)","예능(대)","예능(중)","미술,","미술","40","80","","Y","N","122819","개원","19980629","","99991231","19980629","20230627"
"은평구","학원","1000008397","탑독서실","서울특별시 은평구 은평터널로 164","현대1차아파트 상가4층 (신사동)","독서실","독서","독서실(일반인),","독서실(일반인)","78","78","","Y","N","122762","개원","19990315","","99991231","19990315","20230627"
"은평구","학원","1000008408","중앙간호학원","서울특별시 은평구 연서로29길 24","3층 (갈현동)","직업기술","간호보조기술","간호조무사","간호조무사","90","95","","Y","N","122811","개원","19990407","","99991231","19990407","20231015"
"은평구","학원","1000008436","이데아에듀학원","서울특별시 은평구 증산서길 88","2층 (증산동)","입시.검정 및 보습","보통교과","보습,","보습","80","80","","N","N","122938","개원","19990604","","99991231","19990604","20230627"
"은평구","학원","1000008683","신새롬음악학원","서울특별시 은평구 증산서길 75","3층(증산동)","예능(대)","예능(중)","","음악","72","42","","Y","N","122940","개원","20000304","","99991231","20000304","20230827"
"은평구","학원","1000008722","제갈쌤학원","서울특별시 은평구 증산로 403-1",", 4층 (신사동)","입시.검정 및 보습","보통교과","보습","보습","104","70","","Y","N","03442","개원","20000331","","99991231","20000331","20230917"
"은평구","학원","1000008820","은평제일미술학원","서울특별시 은평구 백련산로 165","2층 (응암동)","예능(대)","예능(중)","미술,","미술","12","59","","N","N","122912","개원","20000828","","99991231","20000828","20230627"
"은평구","학원","1000008835","다인재아트음악학원","서울특별시 은평구 불광로 114",", 2층 우측 (불광동)","예능(대)","예능(중)","","예능(중)","36","100","","Y","N","03363","개원","20000926","","99991231","20000926","20230627"
"은평구","학원","1000008852","하늘사이미술학원","서울특별시 은평구 역말로 110",", 2층 (대조동)","예능(대)","예능(중)","미술,","미술","100","44","","N","N","03392","개원","20001026","","99991231","20001026","20230627"
"은평구","학원","1000008884","새선율음악학원","서울특별시 은평구 은평로 208","3층 (응암동)","예능(대)","예능(중)","음악,","음악","40","30","","N","N","122906","개원","20001227","","99991231","20001227","20230627"
"은평구","학원","1000008923","드보라제3관학원","서울특별시 은평구 은평로3길 20","2층 (역촌동)","입시.검정 및 보습","보통교과","보습,","보습","60","88","","N","N","122903","개원","20010315","","99991231","20010315","20230627"
"은평구","학원","1000008988","하다수학학원","서울특별시 은평구 은평로 228","3층 (응암동)","입시.검정 및 보습","보통교과","보습,","보습","1450","50","","Y","N","122905","개원","20010707","","99991231","20010707","20230627"
"은평구","학원","1000008997","키아즈마학원","서울특별시 은평구 연서로 156",", 3층 (대조동, 서부빌딩)","입시.검정 및 보습","보통교과","보습,","보습","80","80","","N","N","03388","개원","20010724","","99991231","20010724","20230627"
"은평구","학원","1000009046","은평미뎀음악학원","서울특별시 은평구 연서로27길 25-1","2층 (갈현동)","예능(대)","예능(중)","음악,","음악","135","60","","Y","N","122801","개원","20011015","","99991231","20011015","20230627"
"은평구","학원","1000009075","에스에이발레아카데미학원","서울특별시 은평구 통일로 780","미성상가 3층 1호 (불광동)","예능(대)","예능(중)","무용,","무용","220","20","","Y","N","122857","개원","20011120","","99991231","20011120","20230627"
"은평구","학원","1000009108","케이시티증산학원","서울특별시 은평구 증산서길 63","2.3층 (증산동)","입시.검정 및 보습","보통교과","보습,","보습","60","60","","Y","N","122940","개원","20020108","","99991231","20020108","20230627"
"은평구","학원","1000009111","은평컴퓨터아트학원","서울특별시 은평구 연서로 131","4층 (구산동)","직업기술","컴퓨터","컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","80","67","","Y","N","122819","개원","20020116","","99991231","20020116","20230627"
"은평구","학원","1000009163","에듀필국어학원","서울특별시 은평구 응암로 229",", 5층 전부 (응암동, 대흥빌딩)","입시.검정 및 보습","보통교과","보습?논술,","보습?논술","40","70","","N","N","122923","개원","20020430","","99991231","20020430","20230627"
"은평구","학원","1000009165","남궁정민학원","서울특별시 은평구 가좌로 211-1",", 2층, 3층 (응암동)","입시.검정 및 보습","보통교과","보습,","보습","102","80","","Y","N","03479","개원","20020504","","99991231","20020504","20230627"
"은평구","학원","10184","어린음악대어린화가들갈현이화원음악미술학원","서울특별시 은평구 연서로27길 17-1",", 2층, 3층 (갈현동)","종합(대)","","","","60","30","","Y","N","03333","개원","20050614","","99991231","20050614","20230627"
"은평구","학원","10227","신의한수영어수학전문학원","서울특별시 은평구 갈현로 250",", 3층 (갈현동)","입시.검정 및 보습","보통교과","보습,","보습","16","70","","N","N","03331","개원","20050617","","99991231","20050617","20230627"
"은평구","교습소","10230","구산해법수학교습소","서울특별시 은평구 갈현로17가길 4","1층좌측 (구산동)","입시.검정 및 보습","보통교과","초등수학","보습","6","3","","N","N","03426","개원","20050618","","99991231","20050618","20230627"
"은평구","교습소","10626","영영어교습소","서울특별시 은평구 은평로10길 10","2층 (응암동)","입시.검정 및 보습","보통교과","중등(영어)","보습","12","6","","N","N","03464","개원","20050713","","99991231","20050713","20230627"
"은평구","학원","10788","탑수학학원","서울특별시 은평구 연서로27길 25",", 4층 (갈현동,대건빌딩)","입시.검정 및 보습","보통교과","","보습","70","70","","Y","N","122801","개원","20050728","","99991231","20050728","20230627"
"은평구","학원","10913","비상잉글리시역촌점학원","서울특별시 은평구 은평로3길 19","2층 (역촌동)","입시.검정 및 보습","보통교과","보습,","보습","80","70","","Y","N","122903","개원","20050810","","99991231","20050810","20230627"
"은평구","학원","11016","제네시스무무학원","서울특별시 은평구 갈현로29길 8-1","3층 (갈현동)","입시.검정 및 보습","보통교과","보습","보습","90","70","","Y","N","122812","개원","20050825","","99991231","20050825","20231001"
"은평구","교습소","11440","피아노피아음악교습소","서울특별시 은평구 은평로3길 19","번지1층일부우측 (역촌동)","예능(대)","예능(중)","체르니100(중급)","음악","12","4","체르니100(중급):130000, 체르니30(중급):140000, 체르니40(고급):150000","N","N","03420","개원","20051005","","99991231","20051005","20230627"
"은평구","학원","11443","탑스쿨영어전문학원","서울특별시 은평구 은평로8길 12","2층 (응암동)","입시.검정 및 보습","보통교과","보습,","보습","18","70","","N","N","122907","개원","20051007","","99991231","20051007","20230627"
"은평구","교습소","11712","아트힐미술교습소","서울특별시 은평구 연서로6길 17-1",", 2층 일부 (역촌동)","예능(대)","예능(중)","초등미술A","미술","10","6","초등미술A:110000, 초등미술B:150000","Y","N","03402","개원","20051102","","99991231","20051102","20230627"
"은평구","교습소","12075","더대조세스토킹클래스영어교습소","서울특별시 은평구 연서로18길 9-1","2층 (대조동)","입시.검정 및 보습","보통교과","초등영어","보습","12","6","","Y","N","03388","개원","20051206","","99991231","20051206","20230627"
"은평구","학원","12162","윤선생영어교실신사숲학원","서울특별시 은평구 가좌로 280",", 3층 1호 (신사동)","입시.검정 및 보습","보통교과","보습,","보습","45","75","","Y","N","03452","개원","20051213","","99991231","20051213","20230627"
"은평구","교습소","12226","나무와아이들미술교습소","서울특별시 은평구 갈현로1길 24-1","2층좌측 (신사동)","예능(대)","예능(중)","초급(주2회)","미술","72","8","","N","N","03434","개원","20051215","","99991231","20051215","20230627"
"은평구","학원","12650","갈현자기주도학습센터공부방학원","서울특별시 은평구 연서로27길 20-3",", 2층전부 (갈현동)","입시.검정 및 보습","보통교과","보습,","보습","50","70","","Y","N","122959","개원","20060203","","99991231","20060203","20230627"
"은평구","학원","12653","상록피아노학원","서울특별시 은평구 은평로 192","(응암동,리바트)","예능(대)","예능(중)","음악,","음악","26","30","","N","N","122906","개원","20060203","","99991231","20060203","20230627"
"은평구","교습소","13575","멘토논술언어국어교습소","서울특별시 은평구 갈현로29길 30","2층좌측 (갈현동)","입시.검정 및 보습","보통교과","고등국어논술","보습?논술","5","5","","N","N","03321","개원","20060421","","99991231","20060421","20230627"
"은평구","학원","13830","에듀탑지앤비학원","서울특별시 은평구 응암로12길 23-10","1,2,3층 (응암동)","입시.검정 및 보습","보통교과","보습,","보습","48","100","","N","N","122952","개원","20060523","","99991231","20060523","20230627"
"은평구","학원","14051","베스트스터디학원","서울특별시 은평구 백련산로 168",", 2층 (응암동)","입시.검정 및 보습","보통교과","보습,","보습","120","75","","Y","N","03471","개원","20060623","","99991231","20060623","20230627"
"은평구","학원","14053","울림실용음악새절학원","서울특별시 은평구 가좌로 269","2층(신사동)","예능(대)","예능(중)","음악","음악","30","30","","Y","N","122891","개원","20060623","","99991231","20060623","20230827"
"은평구","교습소","14057","해법영어교습소","서울특별시 은평구 연서로34길 30","1층 (불광동)","입시.검정 및 보습","보통교과","초등영어","보습","6","3","","N","N","03348","개원","20060628","","99991231","20060628","20230627"
"은평구","교습소","14061","꿈그린스케치북미술교습소","서울특별시 은평구 은평로8길 42",", 2층 (응암동)","예능(대)","예능(중)","고급미술(주1회)","미술","54","9","고급미술(주1회):80000, 고급미술(주2회):120000, 고급미술(주3회):160000","N","N","03453","개원","20060613","","99991231","20060613","20230917"
"은평구","학원","14260","은평청담어학원","서울특별시 은평구 서오릉로 15",", 에이동 5층 일부 (녹번동)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","15","150","","N","N","03459","개원","20060705","","99991231","20060705","20230627"
"은평구","학원","14401","아이지에스이아카데미불광녹번학원","서울특별시 은평구 통일로 780",", 미성아파트상가 2층 9-1호 (불광동)","입시.검정 및 보습","보통교과","보습,","보습","255","80","","Y","N","03356","개원","20060727","","99991231","20060727","20230627"
"은평구","학원","14402","쥬빌리영수학원","서울특별시 은평구 녹번로 12","3층 (녹번동)","입시.검정 및 보습","보통교과","보습,","보습","40","80","","Y","N","122829","개원","20060727","","99991231","20060727","20230627"
"은평구","교습소","1447","하얀지팡이미술교습소","서울특별시 은평구 응암로 187","3층 (응암동)","예능(대)","예능(중)","미술중급(수채화)","미술","5","9","","N","N","03485","개원","20021014","","99991231","20021014","20230627"
"은평구","교습소","1452","포르테앤피아노교습소","서울특별시 은평구 연서로24길 29","103호 (대조동)","예능(대)","예능(중)","초급 피아노1","음악","72","8","","Y","N","03386","개원","20021029","","99991231","20021029","20230627"
"은평구","교습소","1464","노랑피아노교습소","서울특별시 은평구 응암로14길 15","102호 (응암동)","예능(대)","예능(중)","피아노초급(바이엘)","음악","1","1","","N","N","03469","개원","20021223","","99991231","20021223","20230627"
"은평구","학원","14881","지앤비영어학원","서울특별시 은평구 진흥로1길 11",", 2층, A201호 (역촌동, 미랜드아파트)","입시.검정 및 보습","보통교과","보습,","보습","192","65","","Y","N","03407","개원","20060927","","99991231","20060927","20230627"
"은평구","학원","14897","이지스터디학원","서울특별시 은평구 연서로41길 15","2층 (불광동)","입시.검정 및 보습","보통교과","보습,","보습","24","60","","Y","N","122868","개원","20060921","","99991231","20060921","20230627"
"은평구","학원","15074","상학원","서울특별시 은평구 갈현로33길 21",", 3층(갈현동) (갈현동)","입시.검정 및 보습","보통교과","보습,","보습","32","80","","N","N","03321","개원","20061002","","99991231","20061002","20230627"
"은평구","학원","15340","진보R영어앤코칭센터학원","서울특별시 은평구 증산로5길 15",", 3층 (증산동)","입시.검정 및 보습","보통교과","보습,","보습","70","107","","Y","N","03500","개원","20061114","","99991231","20061114","20230627"
"은평구","학원","15456","하늘소리음악학원","서울특별시 은평구 진흥로12가길 23","2층 (녹번동)","예능(대)","예능(중)","음악,","음악","90","30","","Y","N","122832","개원","20061128","","99991231","20061128","20230627"
"은평구","학원","15643","이상석무용학원","서울특별시 은평구 연서로 162","2층 (대조동)","예능(대)","예능(중)","","무용","20","35","","N","N","122845","개원","20061201","","99991231","20061201","20230627"
"은평구","학원","15803","브레인마스터학원","서울특별시 은평구 역말로 5","2층 (역촌동)","입시.검정 및 보습","보통교과","전문교과제외,","전문교과제외","36","50","","N","N","122900","개원","20061227","","99991231","20061227","20230627"
"은평구","학원","15817","이플음악학원","서울특별시 은평구 진흥로5길 15","3층 (역촌동)","예능(대)","예능(중)","음악,","음악","70","37","","N","N","122899","개원","20061221","","99991231","20061221","20230627"
