"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"종로구","학원","1000019613","YBM어학원","서울특별시 종로구 종로 104",", 1/3~10층 일부 (종로2가, YBM)","종합(대)","","어학(성인)","","11973","2056","","Y","N","03191","개원","19561209","","99991231","19561209","20231008"
"종로구","학원","1000019636","예림미용학원","서울특별시 종로구 돈화문로9길 32",", 1,3층 (낙원동)","직업기술","산업응용기술","이?미용,","이?미용","512","138","","Y","N","03139","개원","19581203","","99991231","19581203","20230627"
"종로구","학원","1000019711","세기음악학원","서울특별시 종로구 종로 65",", 4층 (종로2가)","기예(대)","기예(중)","실용음악(성악),","실용음악(성악)","270","70","","Y","N","03164","개원","19620122","","99991231","19620122","20230627"
"종로구","학원","1000019747","수도어학학원","서울특별시 종로구 종로 405","(숭인동)","국제화","국제","어학(성인),","어학(성인)","320","940","","Y","N","110827","개원","19631010","","99991231","19631010","20230627"
"종로구","학원","1000019805","종로스피치학원","서울특별시 종로구 종로 123?","7층(종로3가)","기예(대)","기예(중)","화술,","화술","390","71","","Y","N","110123","개원","19661231","","99991231","19661231","20230627"
"종로구","학원","1000019881","와이비엠종로이포유어학원","서울특별시 종로구 삼일대로20길 6",", 1~5층,7층,9층 (관철동)","종합(대)","","어학(성인)","","9640","828","","Y","N","03191","개원","19670209","","99991231","19670209","20231008"
"종로구","학원","1000020039","한국보석학원","서울특별시 종로구 수표로 115-1",", 3-5층 (낙원동)","종합(대)","","금속,컴퓨터,컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","","445","164","","Y","N","03140","개원","19690404","","99991231","19690404","20230924"
"종로구","학원","1000020112","PAGODA어학원","서울특별시 종로구 청계천로 93",", 2~7층/11층/12층 일부/14층 (관철동, 파고다타워)","종합(대)","","어학(성인)","","1983","1313","","Y","N","03191","개원","19701118","","99991231","19701118","20230917"
"종로구","학원","1000020130","한양목공예학원","서울특별시 종로구 수표로 108","금강빌딩4층 (낙원동)","직업기술","산업기반기술","공예,","공예","30","30","","Y","N","110320","개원","19701107","","99991231","19701107","20230627"
"종로구","학원","1000020145","노라노패션학원","서울특별시 종로구 종로 393-1",", 3층,4층 (숭인동)","직업기술","산업기반기술","의복","의복","770","137","","Y","N","110863","개원","19710520","","99991231","19710520","20230827"
"종로구","학원","1000020555","한미컴퓨터학원","서울특별시 종로구 종로 383","(숭인동)","직업기술","컴퓨터","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","144","72","","Y","N","110863","개원","19890406","","99991231","19890406","20230917"
"종로구","학원","1000020945","명륜음악학원","서울특별시 종로구 창경궁로 247","2345층 (명륜2가)","예능(대)","예능(중)","","음악","36","128","","N","N","110522","개원","19920323","","99991231","19920323","20230627"
