"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"중구","학원","1000019698","코리아헤럴드학원","서울특별시 중구 남대문로10길 6",", 3층~5층 (수하동)","국제화","국제","어학(성인),","어학(성인)","350","236","","Y","N","04539","개원","19620127","","99991231","19620127","20230627"
"중구","학원","1000019765","알리앙스프랑세즈외국어학원","서울특별시 중구 퇴계로10길 29","1-5층(회현동1가)","국제화","국제","","어학(성인)","1693","268","","Y","N","100873","개원","19641231","","99991231","19641231","20230917"
"중구","학원","1000020476","GnB뉴보습학원","서울특별시 중구 다산로36가길 16","23층 (신당동)","입시.검정 및 보습","보통교과","보습,","보습","65","91","","Y","N","100816","개원","19881006","","99991231","19881006","20230627"
"중구","학원","1000020569","동화음악학원","서울특별시 중구 퇴계로86길 100",", 3층 (신당동,두복빌딩)","예능(대)","예능(중)","음악","음악","54","38","","Y","N","100897","개원","19890928","","99991231","19890928","20230827"
"중구","학원","1000021024","중구정일학원","서울특별시 중구 다산로42나길 31",", 3~4층 (신당동)","입시.검정 및 보습","보통교과","보습,","보습","88","139","","Y","N","04585","개원","19930614","","99991231","19930614","20230627"
"중구","학원","1000021113","스카이미술학원","서울특별시 중구 다산로 104","4층 (신당동)","예능(대)","예능(중)","미술,","미술","100","74","","Y","N","100827","개원","19950630","","99991231","19950630","20230627"
"중구","학원","1000021116","늘푸른보습학원","서울특별시 중구 청구로14길 41",", 3층 (신당동)","입시.검정 및 보습","보통교과","보습,","보습","60","148","","Y","N","100888","개원","19950718","","99991231","19950718","20230627"
"중구","학원","1000021592","권상국애견미용학원","서울특별시 중구 퇴계로 209","4층 (충무로4가)","직업기술","산업응용기술","이?미용,","이?미용","260","75","","Y","N","100862","개원","19990319","","99991231","19990319","20230627"
"중구","학원","1000021658","동아음악학원","서울특별시 중구 동호로10길 30",", 상가동 604호 (신당동, 약수하이츠)","예능(대)","예능(중)","음악,","음악","545","63","","Y","N","04593","개원","19990922","","99991231","19990922","20230627"
"중구","학원","1000021774","지유에듀학원","서울특별시 중구 동호로10길 30",", 약수하이츠상가동 601호 (신당동, 약수하이츠)","입시.검정 및 보습","보통교과","보습,","보습","35","73","","Y","N","04593","개원","20000805","","99991231","20000805","20230627"
"중구","학원","1000021777","토파스여행정보학원","서울특별시 중구 소공로 88","신관19층(소공동, 해운빌딩)","직업기술","문화관광","관광,","관광","420","158","","Y","N","100070","개원","20000814","","99991231","20000814","20230627"
"중구","학원","1000021779","케이에스탑학원","서울특별시 중구 동호로11길 29","23층 (신당동)","입시.검정 및 보습","보통교과","","보습","446","83","","Y","N","100828","개원","20000821","","99991231","20000821","20230627"
"중구","학원","1000021794","세종관광가이드학원","서울특별시 중구 세종대로20길 15",", 3층 (태평로1가)","직업기술","문화관광","관광,","관광","160","105","","Y","N","04520","개원","20000925","","99991231","20000925","20230627"
"중구","학원","1000021867","참진하이캠퍼스학원","서울특별시 중구 다산로 85",", 2층 (신당동)","입시.검정 및 보습","보통교과","","보습","210","115","","Y","N","100828","개원","20010524","","99991231","20010524","20230627"
"중구","학원","1000021906","한양음악학원","서울특별시 중구 다산로 32","남산타운4상가 201호 (신당동)","예능(대)","예능(중)","음악,","음악","344","43","","Y","N","100453","개원","20010908","","99991231","20010908","20230627"
"중구","학원","1000021912","약수지앤비학원","서울특별시 중구 동호로7길 41",", 3층 일부 (신당동)","입시.검정 및 보습","보통교과","","보습","60","70","","Y","N","04596","개원","20011008","","99991231","20011008","20230627"
"중구","교습소","10429","화가마을미술교습소","서울특별시 중구 퇴계로86길 100","2층 (신당동)","예능(대)","예능(중)","","미술","26","9","유치부미술A(주1회반):65000, 초등부미술B(주1회반):70000, 미술(주2회반):100000, 중등부미술:120000, 작품미술:85000, 미술3:80000, 미술4:60000","N","N","100897","개원","20050629","","99991231","20050629","20230627"
"중구","학원","10855","파워보컬(PowerVocal)학원","서울특별시 중구 다산로 70","신당동 P STUDIO 1~5층 (신당동)","기예(대)","기예(중)","","실용음악(성악)","244","111","","Y","N","100830","개원","20050810","","99991231","20050810","20230627"
"중구","학원","11181","JNE주미영어학원","서울특별시 중구 다산로 32",", 남산타운6상가 301호,302호,303호 (신당동, 남산타운)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","120","190","","Y","N","04595","개원","20050920","","99991231","20050920","20230627"
"중구","학원","11617","새움학원","서울특별시 중구 다산로14길 6",", 3층 (신당동)","입시.검정 및 보습","보통교과","보습,","보습","295","69","","Y","N","04590","개원","20051027","","99991231","20051027","20230627"
"중구","학원","12378","MBC아카데미뷰티미용학원","서울특별시 중구 장충단로 247",", 9층 일부 (을지로6가, 굿모닝시티 쇼핑몰)","직업기술","","이?미용,","","1020","97","","Y","N","100729","개원","20060103","","99991231","20060103","20231015"
"중구","교습소","12792","그녀의피아노교습소","서울특별시 중구 다산로 93","1층 (신당동)","예능(대)","예능(중)","","음악","8","4","","N","N","100828","개원","20060220","","99991231","20060220","20230627"
"중구","학원","13481","TG영어전문학원","서울특별시 중구 다산로 151",", 3층~4층, 5층 일부 (신당동, 신당스퀘어)","입시.검정 및 보습","보통교과","","보습","67","139","","Y","N","04607","개원","20060419","","99991231","20060419","20230627"
"중구","교습소","13717","왈츠음악교습소","서울특별시 중구 중림로 10","삼성사이버빌리지 상가2동 211호 (중림동)","예능(대)","예능(중)","바이엘","음악","12","7","바이엘:110000, 체르니100:120000, 체르니30:130000","N","N","100727","개원","20060518","","99991231","20060518","20230627"
"중구","학원","13907","성동폴리(Poly)어학원","서울특별시 중구 다산로 162","약수빌딩 1층 2층 (신당동)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","60","210","","Y","N","100826","개원","20060612","","99991231","20060612","20230627"
"중구","학원","1430","EM플러스학원","서울특별시 중구 다산로40길 56",", 3층 (신당동,신당치과의원)","입시.검정 및 보습","보통교과","","보습","100","121","","Y","N","100831","개원","20020524","","99991231","20020524","20230627"
"중구","학원","14442","메이븐랭귀지센터시청어학원","서울특별시 중구 을지로 6",", 재능교육빌딩 14층 1601호 (을지로1가)","국제화","국제","어학(성인),","어학(성인)","31","150","","Y","N","04533","개원","20060727","","99991231","20060727","20230627"
"중구","학원","15607","이지보습학원","서울특별시 중구 청구로1길 23","삼성아파트 상가 2-202 (신당동)","입시.검정 및 보습","보통교과","보습,","보습","12","94","","Y","N","100763","개원","20061214","","99991231","20061214","20230627"
"중구","학원","17639","종로학원하늘교육청구학원","서울특별시 중구 청구로1길 23","신당삼성아파트 제1상가 302호 (신당동)","입시.검정 및 보습","보통교과","보습,","보습","78","83","","Y","N","100450","개원","20070702","","99991231","20070702","20230627"
"중구","교습소","18790","예뜨랑미술교습소","서울특별시 중구 중림로 10","삼성사이버빌리지상가2동 208-2호 (중림동)","예능(대)","예능(중)","창의미술","미술","90","9","창의미술:68400, 창의미술:106400, 창의미술:136800, 창의미술:182400, 영재미술(입시):81200, 영재미술(입시):129900, 영재미술(입시):194800, 내신대비(입시):97400, 내신대비(입시):146100, 내신대비(입시):219200","Y","N","100727","개원","20071112","","99991231","20071112","20230627"
"중구","학원","19088","약수메트로간호학원","서울특별시 중구 동호로 189","5층 (신당동)","직업기술","간호보조기술","간호조무사,","간호조무사","120","116","","Y","N","100841","개원","20071210","","99991231","20071210","20230627"
"중구","학원","19610","오렌지애견미용학원","서울특별시 중구 퇴계로 226?","3,4층(필동2가)","직업기술","일반서비스","애견미용,","애견미용","30","180","","Y","N","100272","개원","20080214","","99991231","20080214","20230627"
"중구","교습소","2000038324","새봄피아노","서울특별시 중구 청구로1길 23","삼성아파트 상가2 201 (신당동)","예능(대)","예능(중)","바이엘","음악","20","5","바이엘:130000, 체르니100:140000, 체르니30:140000, 체르니40:150000","Y","N","100763","개원","20010307","","99991231","20010307","20230627"
"중구","교습소","2000038830","삼성피아노교습소","서울특별시 중구 중림로 10","207호 (중림동, 삼성사이버빌리지 2상가)","예능(대)","예능(중)","피아노(바이엘)","음악","35","5","피아노(바이엘):110000, 피아노(체르니100):120000, 피아노(체르니30):130000, 피아노(체르니40):140000, 피아노:150000, 피아노:160000, 피아노:170000","Y","N","100859","개원","20020302","","99991231","20020302","20230627"
"중구","교습소","2000041099","참빛피아노교습소","서울특별시 중구 퇴계로24길 6","","예능(대)","예능(중)","","음악","24","4","바이엘상:150000, 바이엘하:160000, 체르니100:180000, 체르니30:210000, 체르니40(고급):270000, 반주법(고급):300000, 바이엘상:140000","N","N","100043","개원","19820726","","99991231","19820726","20230627"
