"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"중랑구","학원","1000000293","예맥보습학원","서울특별시 중랑구 동일로151길 30","2층 (묵동)","입시.검정 및 보습","보통교과","보습,","보습","0","69","","N","N","02008","개원","19881102","","99991231","19881102","20230827"
"중랑구","학원","1000000420","세진보습학원","서울특별시 중랑구 공릉로 58","2층4층일부 (묵동)","입시.검정 및 보습","보통교과","","보습?논술","405","110","","N","N","131848","개원","19880719","","99991231","19880719","20230627"
"중랑구","학원","1000000511","금파음악학원","서울특별시 중랑구 동일로101길 52","2층 (면목동)","예능(대)","예능(중)","","음악","117","9","","Y","N","131823","개원","19880829","","99991231","19880829","20230627"
"중랑구","학원","1000000955","필립학원","서울특별시 중랑구 동일로129길 54","2층 (중화동)","입시.검정 및 보습","보통교과","","보습","210","105","","N","N","131881","개원","19890514","","99991231","19890514","20230627"
"중랑구","학원","1000001072","클라라음악학원","서울특별시 중랑구 겸재로3길 22","3층 (면목동)","예능(대)","예능(중)","음악,","음악","90","32","","N","N","131820","개원","19890911","","99991231","19890911","20230627"
"중랑구","학원","1000001440","YBM잉글루2관학원","서울특별시 중랑구 면목로48길 49",", 2층 (면목동,21세기보습학원)","입시.검정 및 보습","보통교과","보습,","보습","90","115","","Y","N","131813","개원","19900203","","99991231","19900203","20230627"
"중랑구","학원","1000001589","대정보습학원","서울특별시 중랑구 용마산로 389",", 3층 (면목동,석주빌딩)","입시.검정 및 보습","보통교과","보습,","보습","50","134","","Y","N","131812","개원","19920605","","99991231","19920605","20230627"
"중랑구","학원","1000001997","정주피아노학원","서울특별시 중랑구 동일로140길 16","3층일부 (중화동)","예능(대)","예능(중)","음악,","음악","45","9","","N","N","131875","개원","19920225","","99991231","19920225","20230627"
"중랑구","학원","1000002058","조숭지음악학원","서울특별시 중랑구 동일로129길 22",", 2층 (중화동)","예능(대)","예능(중)","음악,","음악","45","40","","N","N","02102","개원","19920918","","99991231","19920918","20230627"
"중랑구","학원","1000002222","아리엘음악학원","서울특별시 중랑구 용마산로 478",", 3층일부 (망우동,영명빌딩)","예능(대)","","음악,","","70","56","","N","N","131806","개원","19931103","","99991231","19931103","20230702"
"중랑구","학원","1000002225","새한음악학원","서울특별시 중랑구 면목로27길 6",", 2층 (면목동,대진빌딩)","예능(대)","예능(중)","음악,","음악","56","57","","N","N","131830","개원","19931105","","99991231","19931105","20230627"
"중랑구","학원","1000002253","으뜸학원","서울특별시 중랑구 용마산로 436",", 4층, 5층 (면목동)","입시.검정 및 보습","보통교과","","보습?논술","80","115","","Y","N","131811","개원","19930619","","99991231","19930619","20230627"
"중랑구","학원","1000002292","줄리어드음악학원","서울특별시 중랑구 용마산로116길 22","2층 (망우동)","예능(대)","예능(중)","음악,","음악","150","50","","N","N","131802","개원","19940302","","99991231","19940302","20230627"
"중랑구","학원","1000002299","서림보습미술학원","서울특별시 중랑구 면목로57길 35",", 1층,2층 (면목동,보령빌딩)","종합(대)","","미술,보습","","204","129","","Y","N","131200","개원","19940409","","99991231","19940409","20230827"
"중랑구","학원","1000002323","YS음악학원","서울특별시 중랑구 봉화산로56길 153","대명프라자401호 (신내동)","예능(대)","예능(중)","음악,","음악","110","59","","Y","N","131869","개원","19940729","","99991231","19940729","20230627"
"중랑구","학원","1000002394","이룸학원","서울특별시 중랑구 면목로27길 6",", 3층 (면목동)","입시.검정 및 보습","보통교과","","보습","60","80","","Y","N","02244","개원","19950731","","99991231","19950731","20230627"
"중랑구","학원","1000002499","하나에듀학원","서울특별시 중랑구 봉우재로 211","2층 (망우동)","입시.검정 및 보습","보통교과","","보습","208","109","","N","N","131809","개원","19950914","","99991231","19950914","20230627"
"중랑구","학원","1000002507","면일보습학원","서울특별시 중랑구 용마산로94길 47","2층) (면목동)","입시.검정 및 보습","보통교과","보습,","보습","40","70","","N","N","131811","개원","19950918","","99991231","19950918","20230627"
